utc,rss_kib,threads,cgroup_freeze
2026-09-03T03:38:00Z,542248,58,0
2026-09-03T03:38:10Z,603440,60,0
2026-09-03T03:38:20Z,620252,57,0
2026-09-03T03:38:30Z,558988,60,0
2026-09-03T03:38:41Z,593720,60,0
2026-09-03T03:38:51Z,629852,59,0
2026-09-03T03:39:01Z,551228,55,0
2026-09-03T03:39:11Z,584060,58,0
2026-09-03T03:39:21Z,618720,58,0
2026-09-03T03:39:31Z,541796,58,0
2026-09-03T03:39:41Z,553128,55,0
2026-09-03T03:39:51Z,590768,58,0
2026-09-03T03:40:01Z,623100,58,0
2026-09-03T03:40:12Z,558524,58,0
2026-09-03T03:40:22Z,578328,58,0
2026-09-03T03:40:32Z,630348,58,0
2026-09-03T03:40:42Z,570908,58,0
2026-09-03T03:40:52Z,583792,58,0
2026-09-03T03:41:02Z,618788,58,0
2026-09-03T03:41:12Z,559456,58,0
2026-09-03T03:41:22Z,551320,58,0
2026-09-03T03:41:32Z,608648,58,0
2026-09-03T03:41:43Z,624876,58,0
2026-09-03T03:41:53Z,561444,58,0
2026-09-03T03:42:03Z,577900,58,0
2026-09-03T03:42:13Z,632684,58,0
