epoch	rss_kib	threads
1784794429	475084	49
1784794434	487256	49
1784794439	481120	50
1784794444	487440	50
1784794449	497152	50
1784794454	494396	50
1784794460	500160	50
1784794465	504296	50
1784794470	511552	50
1784794475	515836	50
1784794480	521576	49
1784794485	524896	49
1784794490	531708	49
1784794495	532488	49
1784794501	537016	49
1784794506	542124	49
1784794511	544312	49
1784794516	548832	49
1784794521	553332	49
1784794526	554824	49
1784794531	558056	49
1784794537	562160	49
1784794542	569328	49
1784794547	570836	46
1784794552	578260	49
1784794557	582452	49
1784794562	588732	49
1784794567	492164	49
1784794572	497140	49
1784794578	498696	49
1784794583	501584	49
1784794588	507648	49
1784794593	509016	49
1784794598	512028	49
1784794603	490148	49
1784794608	493560	49
1784794614	496600	49
1784794619	498448	49
1784794624	503844	49
1784794629	493392	47
