from,to,category
# round03 tier2: tier1 后 round01 剩余站名失败（长短语在前）
华山路派出所,黄山路派出所,gazetteer
石家庄市雨花区,石家庄市裕华区,district
郑州市振东新区，如野湖,郑州市郑东新区如意湖,place
郑州市振东新区，如意湖,郑州市郑东新区如意湖,place
振东新区，如意湖,郑东新区如意湖,place
# red-team: 裸 district 替换误伤「郑州市振东新区如意湖」区划句；带逗号长短语 + gazetteer 已覆盖派出所
# 郑州市振东新区,郑州市郑东新区,district
郑东新区，如意湖,郑东新区如意湖,punct
沙河口区新海湾,沙河口区星海湾,place
秦淮区父子庙,秦淮区夫子庙,place
上海市建安区,上海市静安区,district
徐汇区曹河经,徐汇区漕河泾,place
徐汇区曹河津,徐汇区漕河泾,place
天心区坡之街,天心区坡子街,place
西乡塘区恒阳,西乡塘区衡阳,place
琼山区阜成,琼山区府城,place
琼山区富城,琼山区府城,place
太原市兴化岭,太原市杏花岭,district
沙坪坝区瓷器口,沙坪坝区磁器口,place
海珠区耙州,海珠区琶洲,place
包河区五谷路,包河区芜湖路,place
# round03 tier1: round01 回放站名失败优先（长短语在前）
深圳市富田区,深圳市福田区,district
西安市贝林区,西安市碑林区,district
深圳市落户区,深圳市罗湖区,district
沙坪坝区慈溪口,沙坪坝区磁器口,place
工业园区湖溪,工业园区湖西,place
呼和浩特市塞罕区,呼和浩特市赛罕区,district
市中区赶石桥,市中区杆石桥,place
盘龙区坨东,盘龙区拓东,place
蜀山区比价山,蜀山区笔架山,place
道外区境与,道外区靖宇,place
乌鲁木齐市三伊巴克,乌鲁木齐市沙依巴克,district
台江区鄞州,台江区瀛洲,place
水墨沟,水磨沟,place
尤浩路,友好路,place
# round02: round01 站名误识（长短语优先；工作副本）
沙伊巴克区,沙依巴克区,district
赛海区,赛罕区,district
沙坪坝区赤溪口,沙坪坝区磁器口,place
工业园区呼吸,工业园区湖西,place
湖里区河山,湖里区禾山,place
台江区瀚州,台江区瀛洲,place
安宁区涪陵,安宁区培黎,place
美兰区海淀,美兰区海甸,place
蜀山区笔家山,蜀山区笔架山,place
裕华区玉兴,裕华区裕兴,place
观山湖区泾阳,观山湖区金阳,place
余杭区梁竹,余杭区良渚,place
穷山区府城,琼山区府城,place
鄞州区扶民,鄞州区福明,place
西湖区神经塔,西湖区绳金塔,place
铁溪区新工,铁西区兴工,place
铁西区星宫,铁西区兴工,place
海珠区琢洲,海珠区琶洲,place
洪善区冠善,洪山区关山,place
金凤区、上海西路,金凤区上海西路,punct
二期区,二七区,district
科院派出所,科苑派出所,place
客源派出所,科苑派出所,place
甘石桥派出所,杆石桥派出所,place
有好路派出所,友好路派出所,place
城管区巴阔,城关区八廓,place
州水子派出所,周水子派出所,place
二融路派出所,二龙路派出所,place
滨江到派出所,滨江道派出所,place
# 单字/短词
观英桥,观音桥,place
神金塔,绳金塔,place
陪洲,琶洲,place
琢洲,琶洲,place
裴黎,培黎,place
# red-team: 裸「涪陵→培黎」误伤重庆市涪陵区；用 安宁区涪陵 / 培梨 / 裴黎 + gazetteer
# 涪陵,培黎,place
赤溪口,磁器口,place
# red-team: 裸「呼吸→湖西」误伤日常语；用 工业园区呼吸 / 湖溪
# 呼吸,湖西,place
# red-team: 裸「河山→禾山」误伤 祖国河山；用 湖里区河山
# 河山,禾山,place
瀚州,瀛洲,place
扶民,福明,place
泾阳,金阳,place
梁竹,良渚,place
穷山,琼山,place
玉兴,裕兴,place
神经塔,绳金塔,place
铁溪,铁西,place
新工,兴工,place
星宫,兴工,place
洪善,洪山,place
冠善,关山,place
方值,峰值,term
派井,派警,term
各市段,各时段,term
# round03 tier1 短词
富田区,福田区,district
贝林区,碑林区,district
落户区,罗湖区,district
湖溪,湖西,place
慈溪口,磁器口,place
塞罕区,赛罕区,district
户民,福明,place
赶石桥,杆石桥,place
坨东,拓东,place
比价山,笔架山,place
境与,靖宇,place
三伊巴克,沙依巴克,district
沙伊巴克,沙依巴克,district
德华街,德化街,place
良主,良渚,place
天翼广场,天一广场,gazetteer
巴阔,八廓,place
城管区,城关区,district
# round03 tier2 短词（歧义/易过拟合 → gazetteer 约束，仅站名片段且命中标准表才替换）
如野湖,如意湖,gazetteer
乌市广场,五四广场,gazetteer
关前街,观前街,gazetteer
关山湖区,观山湖区,gazetteer
四季大道,世纪大道,gazetteer
良珠,良渚,gazetteer
新海湾,星海湾,gazetteer
父子庙,夫子庙,gazetteer
建安区,静安区,gazetteer
曹河经,漕河泾,gazetteer
曹河津,漕河泾,gazetteer
坡之街,坡子街,gazetteer
申河区,沈河区,gazetteer
泰东,台东,gazetteer
恒阳,衡阳,gazetteer
阜成,府城,gazetteer
富城,府城,gazetteer
兴化岭,杏花岭,gazetteer
瓷器口,磁器口,gazetteer
耙州,琶洲,gazetteer
干净资区,甘井子区,district
周岁至,周水子,district
下华业路,花园路,gazetteer
华业路,花园路,gazetteer
警方局,金凤区,gazetteer
# red-team: 裸「振东新区→郑东新区」误伤区划句；用 郑州市振东新区* 长短语
# 振东新区,郑东新区,district
# round03 tier3: 新声学 round03 站名回退修复（2026-06；跳过解码崩溃/文山路等高风险）
洪山区观山,洪山区关山,place
莲湖区北苑门,莲湖区北院门,place
台江区颍州,台江区瀛洲,place
台江区银州,台江区瀛洲,place
鄞州区福民,鄞州区福明,place
鄞州区胡民,鄞州区福明,place
鄞州区富民,鄞州区福明,place
盘龙区托东,盘龙区拓东,place
铁西区新宫,铁西区兴工,place
沙依巴克区油耗路,沙依巴克区友好路,place
油耗路派出所,友好路派出所,place
乌鲁木齐市三一巴克,乌鲁木齐市沙依巴克,place
集美集美,集美区集美,place
拉萨市城关区八阔,萨市城关区八廓,place
八阔，,八廓，,punct
解放碑，,解放碑,punct
二七区的化街,二七区德化街,place
解南市,济南市,district
培梨,培黎,place
福民,福明,place
胡民,福明,place
富民,福明,place
托东,拓东,place
新宫,兴工,place
北苑门,北院门,gazetteer
颍州,瀛洲,gazetteer
银州,瀛洲,gazetteer
水沽湖,水果湖,gazetteer
辅城,府城,gazetteer
福成,府城,gazetteer
育新,裕兴,gazetteer
磁气口,磁器口,gazetteer
兴华街,新华街,gazetteer
漕河经,漕河泾,gazetteer
华苑路,花园路,gazetteer
兴化陵,杏花岭,gazetteer
四级大道,世纪大道,gazetteer
乌斯广场,五四广场,gazetteer
管前街,观前街,gazetteer
五湖路,芜湖路,gazetteer
八阔,八廓,gazetteer
金峰区,金凤区,gazetteer
西乡堂,西乡塘,gazetteer
干净之区,甘井子区,gazetteer
周岁字,周水子,gazetteer
# round03 tier3b: 剩余可安全修复（跳过解码崩溃 + 文山路/南京乱码）
沙伊巴克,沙依巴克,district
沙伊巴克区,沙依巴克区,district
区的化街,区德化街,place
大连市干净之区周岁字,大连市甘井子区周水子,place
拉萨市城关区八廓,萨市城关区八廓,place
