elapsed_s,pid,VmRSS_kB,threads,cgroup,frozen
2.372,16506,277908 kB,49,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
4.512,16506,306572 kB,53,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
6.701,16506,463428 kB,58,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
8.909,16506,474488 kB,58,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
11.072,16506,476512 kB,58,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
13.217,16506,473628 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
15.45,16506,479648 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
17.687,16506,478148 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
19.837,16506,475328 kB,56,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
22.031,16506,477988 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
24.236,16506,480764 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
26.381,16506,478996 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
28.529,16506,476012 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
30.675,16506,478528 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
32.844,16506,480712 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
35.006,16506,474456 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
37.237,16506,479452 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
39.465,16506,475508 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
41.691,16506,479372 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
43.892,16506,478856 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
46.118,16506,480064 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
48.297,16506,482896 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
50.529,16506,475588 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
52.756,16506,480564 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
54.978,16506,480040 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
57.172,16506,477032 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
59.391,16506,479428 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
61.608,16506,482168 kB,58,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
63.837,16506,482672 kB,58,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
66.014,16506,481100 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
68.248,16506,481476 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
70.486,16506,478336 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
72.705,16506,482024 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
74.931,16506,477864 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
77.159,16506,482292 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
79.334,16506,481652 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
81.559,16506,483516 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
83.795,16506,482704 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
86.042,16506,481260 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
88.268,16506,483744 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
90.488,16506,480120 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
92.661,16506,482804 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
94.862,16506,484780 kB,57,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_16506,0
