elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.139,42398,47284,47284,1869580,91460,21,33,3906748720,12
1.438,42398,195472,363456,2481812,84524,39,353,3906750240,12
2.7,42398,387472,387472,2525684,84380,50,765,3906751766,12
3.967,42398,210724,392440,2532852,84368,50,1166,3906753283,12
5.245,42398,409424,409424,2542580,84348,50,1646,3906754827,12
6.538,42398,441996,441996,2592500,84336,50,2258,3906756379,12
7.838,42398,460540,460540,2607860,84336,50,2910,3906757943,12
9.137,42398,441700,461492,2611956,82880,50,3272,3906759501,12
10.459,42398,449584,461492,2612468,82872,50,3693,3906761148,12
10.851,42398,449584,461492,2612468,82872,50,3693,3906761600,12
12.195,42398,449584,461492,2612468,82872,50,3693,3906763214,12
