elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.147,32103,46304,46304,1869580,91416,21,35,3905596347,12
1.448,32103,367532,367532,2480628,84484,50,421,3905597898,12
2.737,32103,386468,386468,2489844,84364,50,1015,3905599434,12
4.024,32103,402256,403104,2503668,84328,50,1569,3905600965,12
5.29,32103,415212,415212,2537460,84316,50,2064,3905602495,12
6.577,32103,420240,420240,2545140,84316,50,2546,3905604041,12
7.879,32103,435620,435620,2556660,84316,50,3045,3905605615,12
9.201,32103,427316,438836,2543092,82856,50,3580,3905607205,12
10.51,32103,394428,438836,2509044,82816,50,4096,3905608779,12
11.83,32103,397156,438836,2507764,82760,50,4637,3905610357,12
13.135,32103,395796,438836,2509044,82756,50,5167,3905611913,12
14.427,32103,403524,438836,2511028,82756,48,5663,3905613468,12
15.714,32103,403740,438836,2512020,82756,47,6186,3905615003,12
16.993,32103,407812,438836,2511764,79124,47,6702,3905616564,12
18.308,32103,396164,438836,2511764,79124,47,7233,3905618129,12
19.611,32103,400376,438836,2513780,79096,46,7800,3905619680,12
20.914,32103,402824,438836,2514548,79096,46,8348,3905621246,12
21.233,32103,402348,438836,2514548,79096,46,8356,3905621688,12
22.57,32103,402348,438836,2514548,79096,46,8356,3905623270,12
