elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.117,38751,43392,43392,1859300,92480,20,30,3906525017,12
1.407,38751,367328,367372,2490068,84492,49,413,3906526563,12
2.698,38751,380540,380540,2502356,84388,49,993,3906528098,12
3.99,38751,389640,389640,2509524,84352,49,1185,3906529663,12
5.322,38751,393672,393756,2513364,84352,49,1416,3906531265,12
6.665,38751,399708,399708,2517460,84332,49,1666,3906532853,12
7.988,38751,404260,404260,2521300,84332,49,2004,3906534450,12
9.304,38751,391404,407128,2505428,82872,49,2277,3906536030,12
10.595,38751,391908,407128,2505684,82868,49,2612,3906537589,12
11.922,38751,384812,407128,2495444,82860,49,2949,3906539174,12
13.227,38751,384652,407128,2492116,82780,49,3476,3906540746,12
14.525,38751,388404,407128,2492308,82764,47,4015,3906542308,12
15.848,38751,390624,407128,2493812,82764,46,4288,3906543899,12
16.175,38751,383616,407128,2493812,82764,46,4288,3906544320,12
17.512,38751,383564,407128,2492756,82764,45,4288,3906545905,12
