elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.137,40319,48536,48536,1870636,91232,22,33,3906658251,12
1.423,40319,367040,381340,2490612,84488,50,388,3906659787,12
2.715,40319,378760,381340,2500596,84388,50,973,3906661312,12
3.981,40319,393136,393136,2512884,84368,50,1545,3906662853,12
5.276,40319,403560,403560,2551796,84344,50,2037,3906664398,12
6.586,40319,413844,413844,2559732,84344,50,2537,3906665971,12
7.876,40319,424148,424368,2569204,84344,50,3022,3906667525,12
9.188,40319,394388,429680,2530548,82860,50,3579,3906669102,12
10.487,40319,392348,429680,2526708,82804,50,4104,3906670649,12
11.753,40319,392736,429680,2524916,82780,50,4651,3906672175,12
13.03,40319,394740,429680,2526452,82764,50,5133,3906673690,12
14.271,40319,400756,429680,2528948,82764,48,5663,3906675187,12
15.545,40319,402224,429680,2529460,82764,48,6152,3906676740,12
16.846,40319,407508,429680,2530452,82764,47,6643,3906678276,12
18.113,40319,426820,429680,2541116,78896,47,7137,3906679793,12
19.419,40319,428676,432440,2539924,73628,47,7463,3906681414,12
19.767,40319,428676,432440,2539924,73628,47,7463,3906681805,12
21.094,40319,428676,432440,2539924,73628,47,7463,3906683422,12
