elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.135,34698,48628,48628,1870636,91340,22,34,3906204220,12
1.428,34698,170632,170632,2464756,84604,50,132,3906205740,12
2.721,34698,369508,369508,2494708,84484,50,367,3906207321,12
4.043,34698,370788,371148,2498548,84424,50,564,3906208956,12
5.431,34698,378416,378416,2502388,84380,50,799,3906210588,12
6.785,34698,384264,384264,2505972,84368,50,1051,3906212176,12
8.126,34698,389920,389920,2510324,84356,50,1369,3906213840,12
9.478,34698,393472,393472,2513652,84348,50,1579,3906215426,12
10.779,34698,387168,396960,2507252,82880,50,1848,3906216983,12
12.092,34698,392748,396960,2507252,82876,50,2134,3906218599,12
13.42,34698,393164,396960,2507508,82876,50,2358,3906220129,12
14.684,34698,384788,396960,2498740,82872,48,2603,3906221658,12
15.981,34698,386776,396960,2498740,82872,48,2876,3906223205,12
17.281,34698,385980,396960,2493300,82872,46,3119,3906224794,12
18.576,34698,384768,396960,2492276,82872,46,3372,3906226352,12
19.881,34698,384192,396960,2491220,82812,45,3593,3906227915,12
21.161,34698,385516,396960,2491476,82800,45,3833,3906229452,12
22.473,34698,391196,396960,2494804,82792,45,4117,3906231035,12
23.804,34698,392136,396960,2496340,82784,45,4381,3906232606,12
25.104,34698,391236,396960,2496340,82784,45,4629,3906234165,12
26.407,34698,394644,396960,2496852,82784,45,4938,3906235737,12
27.723,34698,396748,396960,2498644,82784,45,5193,3906237317,12
29.045,34698,397884,398388,2497588,82784,44,5416,3906238905,12
30.348,34698,399444,399572,2497300,82784,43,5683,3906240463,12
31.68,34698,401060,401060,2499412,82784,45,5851,3906242080,12
32.037,34698,401060,401060,2499412,82784,45,5851,3906242535,12
33.385,34698,401060,401060,2499412,82784,45,5852,3906244126,12
