elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.136,41826,47872,47872,1870636,91336,22,32,3906714618,12
1.43,41826,292800,292800,2767312,84584,49,190,3906716136,12
2.697,41826,507896,507904,2821584,84404,49,695,3906717660,12
3.988,41826,500024,507960,2826192,84332,49,827,3906719222,12
5.32,41826,503892,508092,2830544,84296,49,1085,3906720828,12
6.616,41826,518932,523152,2854096,84288,49,1470,3906722380,12
7.916,41826,522344,523152,2861776,84272,49,1814,3906723922,12
9.203,41826,525280,530340,2853328,82812,49,2277,3906725481,12
10.501,41826,518996,530340,2853584,82792,49,2524,3906727038,12
11.801,41826,512340,530340,2847440,82788,49,2780,3906728585,12
13.096,41826,513596,530340,2847440,82788,49,3052,3906730158,12
14.457,41826,510628,530340,2845584,82788,47,3276,3906731817,12
14.831,41826,510628,530340,2845584,82788,47,3276,3906732270,12
16.16,41826,507156,530340,2844528,82788,46,3278,3906733871,12
