elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.126,40018,46580,46580,1861420,91448,22,32,3906601443,12
1.414,40018,365824,379840,2489844,84472,50,393,3906602945,12
2.677,40018,378832,379840,2531060,84360,50,890,3906604470,12
3.948,40018,394956,394960,2543604,84340,50,1387,3906605996,12
5.226,40018,408716,410092,2555636,84328,50,1918,3906607561,12
6.548,40018,419816,419816,2564340,84328,50,2338,3906609119,12
7.847,40018,429700,429700,2572788,84328,50,2784,3906610683,12
9.142,40018,421504,436040,2560756,82868,50,3336,3906612241,12
10.42,40018,403052,436040,2540532,82860,50,3736,3906613773,12
11.724,40018,394012,436040,2530036,82860,50,4292,3906615331,12
13.018,40018,390268,436040,2525684,82828,50,4728,3906616897,12
14.326,40018,391700,436040,2525108,82812,48,5156,3906618469,12
15.652,40018,405516,436040,2531252,82792,48,5689,3906620052,12
16.944,40018,415564,436040,2532756,79204,47,6125,3906621599,12
18.258,40018,398720,436040,2533812,79160,48,6665,3906623190,12
19.573,40018,398716,436040,2532212,79160,46,7142,3906624761,12
20.88,40018,400532,436040,2532212,79160,46,7599,3906626320,12
22.185,40018,402616,436040,2533492,79156,46,8144,3906627894,12
23.503,40018,408196,436040,2534516,79156,46,8562,3906629480,12
24.799,40018,406984,436040,2535028,79156,46,9102,3906631030,12
26.109,40018,404548,436040,2535284,79144,46,9539,3906632599,12
27.395,40018,411056,436040,2536052,79144,46,9965,3906634145,12
28.688,40018,402000,436040,2533748,79128,46,10519,3906635702,12
29.991,40018,407716,436040,2534516,79128,46,10961,3906637258,12
31.295,40018,407324,436040,2536084,79128,47,11498,3906638819,12
32.575,40018,405480,436040,2535540,79128,46,11944,3906640362,12
33.89,40018,406488,436040,2534740,78508,45,12402,3906641931,12
35.184,40018,406392,436040,2535764,78508,45,12916,3906643495,12
36.489,40018,408932,436040,2535764,78508,45,13329,3906645055,12
37.785,40018,403704,436040,2536820,78508,46,13880,3906646621,12
39.114,40018,403612,436040,2536820,78508,46,14338,3906648211,12
40.418,40018,404996,436040,2536820,78508,46,14784,3906649769,12
41.706,40018,405744,436040,2536820,78508,46,15327,3906651310,12
43.022,40018,404888,436040,2538388,78508,47,15636,3906652936,12
43.407,40018,404888,436040,2538388,78508,47,15636,3906653396,12
44.749,40018,404888,436040,2538388,78508,47,15636,3906655022,12
