elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.134,35833,48088,48088,1870636,91192,22,32,3906287819,12
1.413,35833,157256,272724,2710324,84624,36,198,3906289331,12
2.708,35833,273168,298788,2813456,84492,51,312,3906290893,12
4.003,35833,444532,452068,2817296,84416,51,543,3906292441,12
5.333,35833,450108,452068,2821392,84380,51,768,3906294050,12
6.63,35833,456072,456072,2824976,84328,51,1028,3906295605,12
7.963,35833,459724,459724,2829072,84288,51,1308,3906297220,12
9.306,35833,465144,465144,2832912,84280,51,1535,3906298823,12
10.606,35833,494836,494836,2828560,82824,51,1831,3906300382,12
11.936,35833,503632,504300,2828560,82808,51,2078,3906302001,12
13.256,35833,496776,504300,2821904,82804,51,2315,3906303560,12
14.556,35833,494008,504300,2821104,82796,50,2559,3906305136,12
15.857,35833,490764,504300,2816464,82780,49,2819,3906306695,12
17.166,35833,488852,504300,2811504,82732,46,3075,3906308286,12
18.507,35833,499880,504300,2811760,82728,46,3335,3906309890,12
19.834,35833,496892,504300,2810704,82728,45,3577,3906311459,12
21.149,35833,539024,539024,2814288,82700,45,3861,3906313035,12
22.43,35833,541768,541868,2817392,82692,46,4061,3906314572,12
23.727,35833,543044,543044,2817392,82692,46,4338,3906316131,12
25.029,35833,543868,543868,2817904,82692,46,4608,3906317685,12
26.319,35833,544736,545364,2818160,82692,46,4876,3906319241,12
27.622,35833,545720,545720,2818672,82688,46,5142,3906320811,12
28.947,35833,546824,546824,2819184,82688,46,5372,3906322390,12
30.241,35833,548228,548228,2819184,82688,46,5622,3906323936,12
31.562,35833,551956,553136,2822512,82680,46,5875,3906325556,12
32.881,35833,552944,555808,2822768,82680,46,6115,3906327150,12
34.206,35833,555316,556172,2823024,82680,46,6365,3906328724,12
35.528,35833,554548,556320,2823536,82680,46,6625,3906330338,12
36.913,35833,554748,556584,2823248,82680,45,6881,3906331978,12
38.282,35833,556248,557892,2823504,82680,45,7143,3906333641,12
39.635,35833,559624,564400,2822768,79044,46,7475,3906335230,12
40.949,35833,546848,564400,2824816,79036,46,7765,3906336843,12
42.324,35833,545052,564400,2824816,79036,46,7918,3906338460,12
43.665,35833,542948,564400,2824816,79036,46,8196,3906340054,12
44.987,35833,545984,564400,2825072,79036,46,8454,3906341633,12
46.281,35833,546820,564400,2825072,79036,46,8733,3906343184,12
47.623,35833,550592,564400,2826128,79036,47,8994,3906344821,12
48.98,35833,548804,564400,2826128,79036,47,9229,3906346429,12
50.296,35833,552900,564400,2827376,79036,46,9520,3906348024,12
51.619,35833,553128,564400,2827376,79036,46,9763,3906349605,12
52.936,35833,551712,564400,2827632,79036,46,10035,3906351184,12
54.248,35833,552348,564400,2827888,79012,46,10323,3906352749,12
55.554,35833,542008,564400,2822480,79012,45,10614,3906354332,12
56.869,35833,542168,564400,2822480,79012,45,10890,3906355911,12
58.176,35833,542376,564400,2822480,79012,45,11105,3906357470,12
59.49,35833,543744,564400,2822480,79012,45,11358,3906359050,12
60.831,35833,543308,564400,2824272,79012,45,11617,3906360701,12
62.2,35833,545816,564400,2825328,79012,46,11873,3906362319,12
63.52,35833,543480,564400,2825584,79012,46,12131,3906363924,12
64.897,35833,545176,564400,2825584,79012,46,12394,3906365569,12
66.277,35833,545112,564400,2825840,79012,46,12662,3906367206,12
67.645,35833,546616,564400,2826096,79012,46,12902,3906368882,12
68.995,35833,548504,564400,2826096,79012,46,13219,3906370461,12
70.363,35833,549044,564400,2827120,79012,46,13491,3906372138,12
71.711,35833,544164,564400,2827632,79012,46,13716,3906373704,12
72.989,35833,544008,564400,2827632,79012,46,13952,3906375231,12
74.272,35833,544744,564400,2827632,79012,46,14218,3906376783,12
75.565,35833,545392,564400,2827632,79012,46,14491,3906378341,12
76.885,35833,545600,564400,2826576,79012,45,14762,3906379922,12
78.216,35833,550924,564400,2826576,79012,45,14967,3906381512,12
79.521,35833,555720,564400,2828880,79012,45,15256,3906383090,12
80.878,35833,555412,564400,2829936,79012,46,15390,3906384762,12
81.257,35833,555412,564400,2829936,79012,46,15390,3906385200,12
82.601,35833,555412,564400,2829936,79012,46,15390,3906386816,12
