elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.141,36165,47488,47488,1870636,91356,22,32,3906391840,12
1.442,36165,295304,295304,2772720,84496,50,221,3906393379,12
2.738,36165,444032,444032,2781168,84332,50,643,3906394953,12
4.039,36165,451228,451228,2785008,84312,50,768,3906396483,12
5.338,36165,456292,456292,2788848,84276,50,1001,3906398061,12
6.621,36165,467668,467668,2795760,84260,50,1415,3906399609,12
7.926,36165,473208,474792,2801648,84260,50,1843,3906401181,12
9.267,36165,468680,483712,2790896,82792,50,2059,3906402775,12
10.582,36165,468700,483712,2791152,82788,50,2327,3906404365,12
11.891,36165,470860,483712,2791408,82788,50,2634,3906405935,12
12.25,36165,471220,483712,2791408,82788,50,2634,3906406402,12
13.606,36165,471220,483712,2791408,82788,50,2634,3906408031,12
