elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.136,35688,47948,47948,1870636,91296,22,33,3906266932,12
1.417,35688,269368,276752,2768592,84520,49,198,3906268451,12
2.691,35688,466540,466540,2776784,84328,49,702,3906269974,12
3.966,35688,480192,480192,2787792,84276,49,1158,3906271506,12
5.234,35688,490892,491080,2797008,84256,49,1669,3906273042,12
6.527,35688,515848,515848,2807248,84244,49,2027,3906274592,12
7.836,35688,529080,529080,2845648,84244,49,2490,3906276156,12
9.125,35688,518616,533892,2831824,82796,49,2938,3906277711,12
10.431,35688,500344,533892,2811088,82788,49,3442,3906279280,12
11.723,35688,497244,533892,2805712,82752,49,3865,3906280839,12
13.074,35688,497452,533892,2806992,82736,49,4107,3906282489,12
13.442,35688,497452,533892,2806992,82736,49,4107,3906282938,12
14.796,35688,494696,533892,2804880,82736,47,4107,3906284561,12
