from,to,category
经,京,province
沪,沪,province
粤,粤,province
浙,浙,province
苏,苏,province
川,川,province
鲁,鲁,province
豫,豫,province
湘,湘,province
皖,皖,province
闽,闽,province
赣,赣,province
鄂,鄂,province
桂,桂,province
甘,甘,province
晋,晋,province
蒙,蒙,province
陕,陕,province
吉,吉,province
贵,贵,province
琼,琼,province
青,青,province
藏,藏,province
宁,宁,province
渝,渝,province
津,津,province
冀,冀,province
继,冀,province
济,冀,province
记,冀,province
纪,冀,province
季,冀,province
即,冀,province
辽,辽,province
毕,B,letter
黑,黑,province
新,新,province
云,云,province
零,0,digit
〇,0,digit
一,1,digit
二,2,digit
三,3,digit
四,4,digit
五,5,digit
六,6,digit
七,7,digit
八,8,digit
九,9,digit
幺,1,digit
两,2,digit
诶,A,letter
艾,A,letter
啊,A,letter
比,B,letter
币,B,letter
笔,B,letter
北,B,letter
壁,B,letter
翼,E,letter
寺,4,digit
必,B,letter
撂,辽,province
西,C,letter
弟,D,letter
第,D,letter
易,E,letter
艾弗,F,letter
鸡,G,letter
爱曲,H,letter
勾,J,letter
开,K,letter
艾勒,L,letter
艾姆,M,letter
恩,N,letter
欧,P,letter
皮,P,letter
丘,Q,letter
阿尔,R,letter
艾斯,S,letter
提,T,letter
优,V,letter
豆贝尔,V,letter
达不溜,W,letter
艾克斯,X,letter
歪,Y,letter
贼,Z,letter
外,Y,letter
优,U,letter
仪,E,letter
猛,蒙,province
梦,蒙,province
孟,蒙,province
萌,蒙,province
进,晋,province
静,晋,province
疗,辽,province
聊,辽,province
义,E,letter
替,T,letter
这,浙,province
素,苏,province
属,苏,province
晚,皖,province
碗,皖,province
万,皖,province
挽,皖,province
缅,闽,province
干,赣,province
乳,鲁,province
余,豫,province
玉,豫,province
遇,豫,province
预,豫,province
御,豫,province
俄,鄂,province
鹅,鄂,province
厄,鄂,province
向,湘,province
相,湘,province
乡,湘,province
香,湘,province
像,湘,province
悦,粤,province
月,粤,province
岳,粤,province
越,粤,province
原,粤,province
穿,川,province
春,川,province
穷,琼,province
芸,云,province
闪,陕,province
账,藏,province
地,D,letter
轻,青,province
清,青,province
肝,甘,province
感,甘,province
杆,甘,province
镇,J,letter
奥,澳,province
辟,P,letter
开,K,letter
批,P,letter
衣,1,digit
要,1,digit
碧,B,letter
扣,K,letter
