elapsed_seconds,total_pss_kb,total_rss_kb,total_swap_pss_kb
5.3,190958,263704,314
10.53,375696,450056,179
15.69,372330,446748,179
20.9,374532,449020,179
26.13,375171,449696,179
31.36,372703,447260,179
36.57,376456,451032,179
41.78,376362,450952,179
47.02,374846,449480,179
52.26,373390,448036,179
57.52,375358,450048,179
62.94,377060,451780,179
68.17,376579,451300,179
73.4,375143,449864,179
78.75,375847,450600,179
83.93,374755,449508,179
89.19,375163,449940,179
94.41,375962,450752,179
99.72,373414,448208,179
104.95,376826,451628,179
110.24,375646,450460,179
115.45,374130,448960,179
120.68,376702,451552,179
125.92,377565,452420,179
131.11,377869,452736,179
136.39,375381,450316,179
141.59,375237,450184,179
146.95,373605,448588,179
152.16,374003,449100,179
157.36,377111,452220,179
162.6,376589,451708,179
167.81,376973,452100,179
173.05,375149,450284,179
178.25,375129,450284,179
183.46,376137,451300,179
188.7,375221,450404,179
194.02,374289,449476,179
199.24,375209,450400,179
204.47,373106,448648,174
209.61,373345,448888,174
214.85,376109,451660,174
220.08,375708,451308,174
225.21,373252,448860,174
230.45,376216,451828,174
235.7,376292,451912,174
240.91,376644,452272,174
246.17,374620,450248,174
251.39,374335,450020,174
256.6,373411,449096,174
261.8,377055,452740,174
267.06,377163,452848,174
272.26,377867,453552,174
277.56,376175,451860,174
282.69,372927,448612,174
287.94,376926,452612,174
293.17,377130,452860,174
298.38,375366,451096,174
303.71,376064,451828,174
308.85,372588,448352,174
314.09,377112,452880,174
319.46,374160,449932,174
324.69,373837,449616,174
329.94,373073,448860,174
335.16,376205,451996,174
340.44,376033,451824,174
345.9,376437,452248,174
351.03,372666,448612,174
356.24,373526,449480,174
361.47,374678,450636,174
366.69,374954,450920,174
371.94,372291,448832,174
377.17,374714,450964,174
382.39,373381,449360,174
387.62,372517,448496,174
392.84,374573,450552,174
397.99,370553,446532,174
403.22,375085,451068,174
408.42,376286,452200,174
413.65,374494,450428,174
418.83,373570,449508,174
424.06,375814,451752,174
429.27,373578,449516,174
434.5,373498,449444,174
439.71,373288,449232,174
444.93,372450,448388,174
450.19,371546,447484,174
455.41,375270,451212,174
460.66,373604,449548,174
465.9,373684,449644,174
471.14,376252,452216,174
476.33,375936,451904,174
481.56,375991,451956,174
486.69,370627,446596,174
491.91,373683,449664,174
497.1,373503,449452,174
502.31,373539,449496,174
507.53,373739,449672,174
512.76,372115,448048,174
517.99,372267,448200,174
523.21,371923,447860,174
528.43,374991,450928,174
533.7,373183,449124,174
538.93,374359,450308,174
544.18,375219,451172,174
549.4,371379,447332,174
554.6,374643,450596,174
559.82,373599,449556,174
565.05,375863,451820,174
570.25,376143,452104,174
575.49,372307,448288,174
580.62,370841,447020,173
585.85,373278,449460,173
591.08,373804,449988,173
596.27,375272,451456,173
601.41,370916,447104,173
606.63,376024,452216,173
611.86,373268,449464,173
617.06,373864,450064,173
622.27,375944,452144,173
627.44,370504,446708,173
632.7,374756,450964,173
637.92,373420,449632,173
643.1,373708,449920,173
648.32,375716,451928,173
653.54,372556,448792,173
658.76,374220,450456,173
663.96,363568,439804,173
