elapsed_seconds,pid,rss_kb,threads,phase
0.066,876,531680,56,affected
2.188,876,531736,56,affected
4.31,876,524276,56,affected
6.417,876,524912,56,affected
8.534,876,549952,59,affected
10.671,876,535360,56,affected
12.788,876,535808,56,affected
14.915,876,536448,56,affected
17.05,876,541768,56,affected
19.172,876,541592,56,affected
21.307,876,542328,56,affected
23.418,876,544808,56,affected
25.515,876,545404,55,affected
27.622,876,547072,54,affected
29.734,876,547672,54,affected
31.844,876,550268,54,affected
33.955,876,345180,37,affected
36.09,876,390896,51,affected
38.225,876,396560,56,affected
40.378,876,397304,56,affected
42.478,876,777140,59,affected
44.621,876,995724,59,affected
46.738,876,1085996,59,affected
48.829,876,1251460,59,affected
50.919,876,706044,57,affected
52.995,5638,340840,50,affected
55.076,5841,359328,54,stress
57.205,5841,532368,59,stress
59.302,5841,525340,58,stress
61.398,5841,532048,58,stress
63.481,5841,524900,55,stress
65.566,5841,555124,58,stress
67.655,5841,567560,58,stress
69.762,5841,579816,58,stress
71.9,5841,573228,58,stress
73.996,5841,599344,58,stress
76.092,5841,609876,58,stress
78.211,5841,603016,58,stress
80.313,5841,628568,58,stress
82.445,5841,519608,55,stress
84.571,5841,549252,58,stress
86.68,5841,535740,58,stress
88.781,5841,528172,58,stress
90.862,5841,554160,58,stress
92.969,5841,546904,58,stress
95.074,5841,573016,58,stress
97.164,5841,582888,58,stress
99.268,5841,591740,58,stress
101.378,5841,601796,58,stress
103.484,5841,610436,58,stress
105.595,5841,620372,58,stress
107.709,5841,628760,58,stress
109.833,5841,518572,55,stress
111.928,5841,548640,58,stress
114.028,5841,541540,57,stress
116.129,5841,524928,57,stress
118.223,5841,553560,57,stress
120.36,5841,546116,57,stress
122.487,5841,553112,54,stress
124.588,5841,582252,57,stress
126.695,5841,591804,57,stress
128.799,5841,601680,57,stress
130.897,5841,610828,57,stress
133.069,5841,621096,57,stress
135.174,5841,630476,57,stress
137.281,5841,541580,57,stress
139.38,5841,531852,57,stress
141.478,5841,536756,57,stress
143.576,5841,546884,57,stress
145.679,5841,538744,57,stress
147.776,5841,565376,57,stress
149.904,5841,558168,57,stress
152.023,5841,565040,54,stress
154.12,5841,593984,57,stress
156.207,5841,603908,57,stress
158.306,5841,596984,57,stress
160.399,5841,622716,57,stress
162.531,5841,615664,57,stress
164.654,5841,526860,57,stress
166.798,5841,534860,57,stress
168.892,5841,539012,57,stress
170.997,5841,529184,57,stress
173.099,5841,539476,57,stress
175.197,5841,567928,57,stress
177.335,5841,558912,56,stress
179.433,5841,586768,56,stress
181.512,5841,579040,56,stress
183.61,5841,604968,56,stress
185.716,5841,614880,56,stress
187.87,5841,605912,56,stress
189.961,5841,534624,56,stress
192.065,5841,544132,56,stress
194.165,5841,537996,56,stress
196.26,5841,539076,56,stress
198.354,5841,549476,56,stress
200.477,5841,542324,56,stress
202.603,5841,550148,56,stress
204.716,5841,559432,53,stress
206.812,5841,588072,56,stress
208.923,5841,596984,56,stress
211.034,5841,607184,56,stress
213.117,5841,617012,56,stress
215.269,5841,607768,56,stress
217.399,5841,517664,53,stress
219.484,5841,546808,56,stress
221.581,5841,556064,56,stress
223.697,5841,523992,56,stress
225.821,5841,551556,56,stress
227.918,5841,561552,56,stress
230.056,5841,553312,56,stress
232.139,5841,580388,56,stress
234.238,5841,590616,56,stress
236.341,5841,582920,56,stress
238.441,5841,609120,56,stress
240.534,5841,619536,56,stress
242.67,5841,611932,56,stress
244.769,5841,538452,56,stress
246.883,5841,548608,56,stress
248.986,5841,541248,56,stress
251.086,5841,543844,56,stress
253.21,5841,553892,56,stress
255.305,5841,564092,56,stress
257.414,5841,556920,56,stress
259.54,5841,582652,56,stress
261.636,5841,592704,56,stress
263.732,5841,602368,56,stress
265.838,5841,608944,56,stress
267.942,5841,621140,56,stress
270.088,5841,631208,56,stress
272.195,5841,542636,56,stress
274.319,5841,535208,56,stress
276.453,5841,524868,53,stress
278.56,5841,315372,36,stress
