elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.163,24267,147864,147864,163784,68,27,49,5097976515,12
1.405,24267,333124,333124,1033920,68,51,191,5097977979,12
2.631,24267,493596,493596,1065888,68,50,348,5097979473,12
3.896,24267,529496,529496,1071264,68,50,583,5097981005,12
5.2,24267,533864,533864,1069536,68,44,819,5097982616,12
6.572,24267,560884,560884,1078304,68,46,979,5097984231,12
7.9,24267,566068,566068,1083168,68,46,1232,5097985813,12
9.221,24267,550668,550668,1095968,68,46,1514,5097987387,12
10.51,24267,564348,564348,1099552,68,46,2011,5097988948,12
11.838,24267,560596,560596,1096192,68,45,2031,5097990580,12
