elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.174,28942,146236,146236,181188,68,27,50,5098156141,12
1.448,28942,326624,326624,1033920,68,51,193,5098157653,12
2.705,28942,340160,340160,1082048,68,51,338,5098159172,12
3.987,28942,517984,517984,1086144,68,51,624,5098160738,12
5.298,28942,522008,522008,1087584,68,48,867,5098162303,12
6.618,28942,528868,528868,1092960,68,48,1125,5098163893,12
7.961,28942,535156,535156,1097536,68,47,1365,5098165523,12
9.302,28942,521048,521048,1079360,68,47,1616,5098167143,12
10.631,28942,553524,553524,1082688,68,47,1877,5098168707,12
11.96,28942,568868,568868,1084192,68,46,2165,5098170332,12
13.324,28942,562580,562580,1082432,68,47,2309,5098171925,12
14.656,28942,576072,576072,1114912,68,46,2568,5098173517,12
15.969,28942,568536,568536,1110240,68,44,2812,5098175101,12
17.29,28942,574952,574952,1115104,68,44,3077,5098176684,12
18.607,28942,575804,575804,1114400,68,46,3331,5098178269,12
19.917,28942,574300,574300,1112352,68,46,3565,5098179834,12
21.21,28942,625272,625272,1115904,68,45,3859,5098181389,12
22.519,28942,615764,615764,1114848,68,44,3937,5098183002,12
