elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.166,35577,147552,147552,182244,68,28,52,5098585638,12
1.47,35577,445712,445712,782560,68,52,392,5098587186,12
2.743,35577,457396,457396,795328,68,51,1043,5098588712,12
4.022,35577,475744,475744,806592,68,51,1429,5098590299,12
5.363,35577,477512,477512,806176,68,46,1660,5098591916,12
6.707,35577,484824,484824,811296,68,46,1890,5098593529,12
8.078,35577,497796,497796,835104,68,46,2039,5098595184,12
9.46,35577,482428,482428,820000,68,46,2293,5098596809,12
10.81,35577,483144,483144,840480,68,46,2536,5098598402,12
12.134,35577,465908,465908,818208,68,46,2871,5098599991,12
