elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.154,38236,144700,144700,178820,68,25,33,5098690240,12
1.407,38236,442824,442824,802528,68,52,363,5098691768,12
2.681,38236,458208,458208,815040,68,51,998,5098693274,12
3.943,38236,474228,474228,829632,68,51,1646,5098694790,12
5.207,38236,488132,488132,836864,68,45,2269,5098696319,12
6.493,38236,511888,511888,854048,68,46,2913,5098697875,12
7.795,38236,540628,540628,877088,68,46,3502,5098699434,12
9.072,38236,499348,499348,820736,68,45,4061,5098700965,12
10.371,38236,487212,487212,828416,68,45,4604,5098702510,12
11.63,38236,491316,491316,831008,68,46,5231,5098704030,12
12.925,38236,499104,499104,836384,68,46,5871,5098705587,12
14.209,38236,474812,474812,854784,68,45,6521,5098707133,12
15.494,38236,485932,485932,859392,68,45,7193,5098708667,12
16.821,38236,493716,493716,867648,68,47,7363,5098710284,12
