elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.155,25370,143872,143872,160360,68,24,31,5098006836,12
1.428,25370,246064,246064,750784,68,51,142,5098008367,12
2.713,25370,445464,445464,772512,68,50,410,5098009920,12
4.006,25370,448504,448504,776864,68,50,621,5098011506,12
5.372,25370,452268,452268,788992,68,45,865,5098013143,12
6.734,25370,471864,471864,819456,68,45,1110,5098014737,12
8.052,25370,477032,477032,823808,68,45,1360,5098016326,12
9.384,25370,453680,453680,801536,68,45,1639,5098017916,12
10.691,25370,454344,454344,806656,68,45,1902,5098019494,12
12.012,25370,458768,458768,807168,68,45,2073,5098021089,12
13.357,25370,455872,455872,803840,68,45,2327,5098022673,12
14.653,25370,460572,460572,806624,68,44,2562,5098024238,12
15.963,25370,464456,464456,805120,68,45,2890,5098025863,12
17.28,25370,476816,476816,810752,68,45,3139,5098027418,12
18.608,25370,475552,475552,807712,68,46,3293,5098028979,12
19.916,25370,479536,479536,812064,68,46,3546,5098030572,12
21.262,25370,478812,478812,810784,68,46,3864,5098032221,12
22.585,25370,484324,484324,811552,68,46,4102,5098033781,12
23.894,25370,473200,473200,809696,68,44,4352,5098035344,12
25.204,25370,475240,475240,838624,68,44,4608,5098036953,12
26.548,25370,480696,480696,842272,68,46,4816,5098038526,12
27.844,25370,482680,482680,842528,68,46,5082,5098040074,12
29.128,25370,483456,483456,841728,68,45,5329,5098041601,12
30.412,25370,484576,484576,841984,68,45,5544,5098043167,12
31.744,25370,491664,491664,843520,68,45,5789,5098044760,12
33.079,25370,496884,496884,844800,68,45,6004,5098046369,12
34.417,25370,501900,501900,845056,68,45,6260,5098047967,12
35.716,25370,502980,502980,845824,68,45,6559,5098049524,12
37.038,25370,516368,516368,880552,68,45,6791,5098051101,12
38.348,25370,475392,475392,881440,68,46,7060,5098052685,12
39.642,25370,473716,473716,880384,68,45,7319,5098054225,12
40.934,25370,474120,474120,880384,68,45,7570,5098055794,12
42.269,25370,480120,480120,882176,68,45,7785,5098057408,12
43.629,25370,479580,479580,882176,68,45,8044,5098059014,12
44.955,25370,476536,476536,881120,68,44,8295,5098060621,12
46.295,25370,479332,479332,882944,68,45,8603,5098062251,12
47.66,25370,487144,487144,882944,68,45,8861,5098063896,12
49.028,25370,494116,494116,882944,68,45,9006,5098065517,12
50.37,25370,493996,493996,882944,68,45,9249,5098067121,12
51.699,25370,499412,499412,884000,68,46,9609,5098068714,12
53.03,25370,511236,511236,885056,68,47,9756,5098070301,12
54.34,25370,510616,510616,884000,68,46,10015,5098071868,12
55.632,25370,510412,510412,884000,68,46,10251,5098073417,12
56.959,25370,517468,517468,885056,68,47,10449,5098075044,12
58.32,25370,523168,523168,885056,68,47,10689,5098076667,12
59.65,25370,523568,523568,884000,68,46,10938,5098078245,12
60.97,25370,523552,523552,882944,68,45,11200,5098079835,12
62.323,25370,525992,525992,881888,68,44,11448,5098081492,12
63.68,25370,529368,529368,882720,68,46,11751,5098083110,12
65.008,25370,484516,484516,882720,68,46,11995,5098084719,12
66.364,25370,484596,484596,882720,68,46,12243,5098086336,12
67.729,25370,500564,500564,883776,68,47,12524,5098087998,12
69.109,25370,500292,500292,881664,68,45,12763,5098089648,12
70.503,25370,491964,491964,880864,68,44,13012,5098091299,12
71.858,25370,495148,495148,880864,68,44,13272,5098092906,12
73.184,25370,508036,508036,884000,68,46,13550,5098094530,12
74.568,25370,509308,509308,884000,68,46,13792,5098096184,12
75.931,25370,505760,505760,883200,68,45,14036,5098097793,12
77.275,25370,508332,508332,885312,68,47,14383,5098099436,12
78.603,25370,524348,524348,885824,68,47,14628,5098100992,12
79.918,25370,535236,535236,885536,68,46,14793,5098102572,12
81.237,25370,535380,535380,885536,68,46,15030,5098104150,12
82.531,25370,543600,543600,886816,68,46,15337,5098105702,12
83.869,25370,553400,553400,928768,68,45,15525,5098107303,12
85.216,25370,497024,497024,930048,68,45,15795,5098108926,12
86.549,25370,494964,494964,930048,68,45,16073,5098110521,12
87.849,25370,503104,503104,930048,68,45,16355,5098112087,12
89.18,25370,512612,512612,930304,68,45,16556,5098113708,12
90.536,25370,513368,513368,930304,68,45,16802,5098115302,12
91.845,25370,513148,513148,930304,68,45,17041,5098116875,12
93.194,25370,509716,509716,931360,68,46,17367,5098118510,12
