elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.16,36999,148620,148620,164840,68,28,53,5098646854,12
1.449,36999,347284,347284,1065696,68,52,198,5098648373,12
2.727,36999,570892,570892,1091008,68,51,656,5098649950,12
4.058,36999,580492,580492,1096384,68,51,960,5098651567,12
5.419,36999,584380,584380,1095424,68,45,1177,5098653196,12
6.762,36999,594120,594120,1130272,68,46,1462,5098654776,12
8.096,36999,602516,602516,1137920,68,45,1910,5098656362,12
9.422,36999,585536,585536,1111840,68,46,2461,5098657958,12
10.769,36999,587664,587664,1113632,68,46,2650,5098659570,12
12.088,36999,588504,588504,1116928,68,45,2952,5098661152,12
13.387,36999,585068,585068,1113600,68,45,3355,5098662721,12
14.739,36999,591736,591736,1115392,68,45,3405,5098664373,12
