elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.156,29471,142556,142556,179364,68,26,38,5098265229,12
1.435,29471,322136,322136,1036032,68,53,195,5098266743,12
2.701,29471,327584,327584,1067520,68,53,340,5098268269,12
3.976,29471,515480,515480,1071616,68,53,640,5098269814,12
5.285,29471,521224,521224,1071200,68,48,876,5098271391,12
6.597,29471,528032,528032,1076064,68,48,1126,5098272939,12
7.883,29471,533500,533500,1079072,68,46,1379,5098274513,12
9.194,29471,519672,519672,1063232,68,47,1624,5098276090,12
10.51,29471,523736,523736,1067616,68,48,1865,5098277645,12
11.792,29471,568808,568808,1068096,68,47,2162,5098279185,12
13.098,29471,567968,567968,1067104,68,48,2306,5098280797,12
14.454,29471,575316,575316,1077568,68,47,2555,5098282425,12
15.833,29471,572812,572812,1074976,68,46,2801,5098284070,12
17.175,29471,579624,579624,1080352,68,46,3066,5098285669,12
18.509,29471,577792,577792,1079392,68,48,3328,5098287272,12
19.86,29471,577552,577552,1087840,68,48,3571,5098288880,12
21.187,29471,625356,625356,1091648,68,47,3862,5098290468,12
22.525,29471,632488,632488,1091648,68,47,4075,5098292065,12
23.82,29471,630912,630912,1091904,68,47,4328,5098293621,12
25.139,29471,631872,631872,1092160,68,47,4618,5098295199,12
26.435,29471,632068,632068,1091616,68,46,4879,5098296757,12
27.736,29471,635272,635272,1091072,68,45,5147,5098298337,12
29.056,29471,638016,638016,1092896,68,46,5379,5098299908,12
30.391,29471,641612,641612,1092896,68,46,5578,5098301510,12
31.714,29471,646624,646624,1128480,68,46,5852,5098303146,12
33.067,29471,650024,650024,1129248,68,46,6078,5098304752,12
34.405,29471,650812,650812,1130816,68,47,6324,5098306364,12
35.775,29471,655364,655364,1130016,68,46,6564,5098308020,12
37.128,29471,660712,660712,1130784,68,46,6839,5098309612,12
38.491,29471,626172,626172,1130784,68,46,7093,5098311260,12
39.813,29471,622560,622560,1132096,68,47,7370,5098312827,12
41.153,29471,631992,631992,1134184,68,47,7673,5098314472,12
42.519,29471,635288,635288,1134112,68,46,7819,5098316087,12
43.847,29471,634716,634716,1134112,68,46,8073,5098317670,12
45.181,29471,638492,638492,1135168,68,47,8335,5098319262,12
46.503,29471,639604,639604,1135168,68,47,8563,5098320861,12
47.835,29471,642172,642172,1134880,68,46,8867,5098322440,12
49.151,29471,642288,642288,1134880,68,46,9104,5098324019,12
50.454,29471,652916,652916,1137640,68,47,9367,5098325589,12
51.781,29471,658676,658676,1137472,68,47,9567,5098327197,12
53.138,29471,660092,660092,1135360,68,45,9818,5098328810,12
54.464,29471,659784,659784,1135360,68,45,10076,5098330403,12
55.784,29471,661784,661784,1135616,68,45,10312,5098331983,12
57.086,29471,665924,665924,1134656,68,47,10606,5098333539,12
58.398,29471,623960,623960,1134656,68,47,10826,5098335128,12
59.712,29471,621900,621900,1133600,68,46,11057,5098336710,12
61.065,29471,640980,640980,1134824,68,47,11366,5098338354,12
62.435,29471,642056,642056,1132544,68,45,11522,5098339957,12
63.761,29471,642688,642688,1132544,68,45,11770,5098341543,12
65.084,29471,642840,642840,1132544,68,45,12039,5098343142,12
66.416,29471,643576,643576,1132544,68,45,12325,5098344762,12
67.731,29471,647368,647368,1134912,68,47,12650,5098346317,12
69.038,29471,647884,647884,1134912,68,47,12884,5098347883,12
70.361,29471,656540,656540,1134280,68,46,13079,5098349471,12
71.7,29471,665752,665752,1133312,68,45,13319,5098351114,12
73.071,29471,668804,668804,1133568,68,45,13563,5098352750,12
74.428,29471,670492,670492,1133824,68,45,13825,5098354339,12
75.726,29471,671828,671828,1133824,68,45,14078,5098355908,12
77.027,29471,662168,662168,1178208,68,48,14389,5098357467,12
78.347,29471,633116,633116,1178208,68,48,14639,5098359050,12
79.647,29471,631920,631920,1177152,68,47,14905,5098360618,12
80.986,29471,646400,646400,1181504,68,47,15215,5098362254,12
82.346,29471,645556,645556,1180448,68,46,15233,5098363880,12
