elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.177,34214,147924,147924,164840,68,28,56,5098534755,12
1.466,34214,327940,327940,1034976,68,52,201,5098536280,12
2.743,34214,535852,535852,1077440,68,51,747,5098537823,12
4.032,34214,542888,542888,1082560,68,51,888,5098539394,12
5.358,34214,549420,549420,1081600,68,45,1113,5098541012,12
6.712,34214,569048,569048,1089792,68,45,1410,5098542616,12
8.03,34214,590396,590396,1099776,68,45,1955,5098544176,12
9.334,34214,561016,561016,1101568,68,45,2194,5098545734,12
10.63,34214,561624,561624,1101824,68,45,2459,5098547286,12
11.95,34214,555844,555844,1098240,68,45,2755,5098548901,12
