elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.158,28696,142744,142744,178820,68,25,34,5098135957,12
1.437,28696,337528,337528,1041120,68,52,196,5098137477,12
2.697,28696,539928,539928,1081024,68,51,728,5098139000,12
3.99,28696,551624,551624,1093056,68,51,1260,5098140540,12
5.268,28696,570120,570120,1101568,68,45,1788,5098142087,12
6.559,28696,598444,598444,1112832,68,45,2217,5098143644,12
7.859,28696,616268,616268,1126944,68,46,2695,5098145195,12
9.161,28696,611776,611776,1115680,68,46,3212,5098146777,12
10.477,28696,584512,584512,1083136,68,45,3804,5098148359,12
11.794,28696,587052,587052,1106528,68,48,4294,5098149928,12
13.144,28696,586848,586848,1107296,68,48,4384,5098151586,12
