elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.146,21844,57624,57624,1875152,88944,25,29,2744981673,12
1.382,21844,277196,280824,2742992,84884,49,178,2744983128,12
2.617,21844,306104,306104,2783180,84576,49,266,2744984634,12
3.856,21844,486656,488928,2786252,84524,49,517,2744986111,12
5.095,21844,491976,491976,2790348,84468,49,738,2744987599,12
6.398,21844,501944,501944,2826956,84424,49,979,2744989175,12
7.695,21844,503072,505312,2830284,84408,49,1282,2744990735,12
8.982,21844,523824,538480,2831820,84396,49,2009,2744992293,12
10.28,21844,531056,538480,2836172,84360,49,2479,2744993856,12
11.608,21844,527984,538484,2832588,82876,49,2633,2744995454,12
12.95,21844,531532,538484,2832588,82872,49,2939,2744997057,12
14.23,21844,532004,538484,2831532,82872,48,3211,2744998577,12
15.506,21844,545896,545896,2830476,82872,47,3508,2745000119,12
16.808,21844,544956,554208,2838924,82868,47,3838,2745001677,12
18.116,21844,540932,554208,2836876,82856,47,4329,2745003261,12
19.45,21844,542548,554208,2834028,82784,46,4611,2745004845,12
20.737,21844,547248,554208,2835052,82780,46,4860,2745006403,12
22.029,21844,550748,554208,2876268,79100,46,5038,2745007964,12
23.358,21844,517652,555244,2878572,79096,46,5322,2745009526,12
24.676,21844,516520,555244,2878572,79096,46,5534,2745011124,12
26.005,21844,518192,555244,2879084,79096,46,5817,2745012712,12
27.315,21844,533976,555244,2880108,74212,46,6093,2745014293,12
28.627,21844,540880,555244,2880108,74212,46,6406,2745015854,12
29.921,21844,550828,555744,2880876,74204,46,7049,2745017445,12
31.231,21844,544344,555744,2879820,74204,45,7469,2745018997,12
32.539,21844,554544,555744,2885396,74196,46,7835,2745020553,12
33.868,21844,554768,555744,2885228,74196,46,7995,2745022191,12
34.22,21844,554768,555744,2885228,74196,46,7995,2745022624,12
35.564,21844,554768,555744,2885228,74196,46,7995,2745024224,12
36.908,21844,554768,555744,2885228,74196,46,7995,2745025851,12
38.239,21844,556604,556604,2885268,74196,46,8016,2745027420,12
