elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.137,24116,47836,47836,1870632,91676,22,29,2745265380,12
1.437,24116,261092,269792,2766572,84896,50,187,2745266890,12
2.716,24116,294064,294496,2769900,84580,50,276,2745268446,12
3.995,24116,481432,486824,2802412,84520,50,533,2745269997,12
5.306,24116,487316,487996,2806252,84476,50,787,2745271591,12
6.631,24116,494592,494592,2809836,84432,50,1080,2745273171,12
7.951,24116,498932,498932,2813676,84412,50,1264,2745274748,12
9.282,24116,524756,529252,2847980,84392,50,1799,2745276328,12
10.591,24116,528184,532904,2847468,82896,50,2281,2745277912,12
11.902,24116,527480,532904,2847468,82880,50,2756,2745279463,12
13.198,24116,530744,532904,2847468,82880,50,3050,2745281064,12
14.549,24116,533360,544676,2840524,82880,49,3482,2745282650,12
15.868,24116,539920,544676,2839980,82880,48,4266,2745284246,12
17.21,24116,534364,544676,2836620,82816,47,4597,2745285866,12
18.549,24116,537380,544676,2835596,82796,47,4798,2745287455,12
19.855,24116,538708,544676,2836108,82792,47,5065,2745289013,12
21.192,24116,536712,550572,2835852,79092,47,5322,2745290657,12
22.571,24116,512932,550572,2838924,79088,47,5632,2745292301,12
23.892,24116,534176,550572,2855308,79088,47,6167,2745293891,12
25.221,24116,524652,550572,2856076,79088,47,6596,2745295443,12
26.508,24116,530160,550572,2857868,79088,47,7153,2745296991,12
27.799,24116,527860,550572,2858380,79088,47,7440,2745298586,12
29.14,24116,533164,550572,2858636,79088,47,7724,2745300167,12
30.448,24116,591200,591200,2859916,74204,47,8475,2745301732,12
31.75,24116,587912,598316,2857900,74188,48,9066,2745303287,12
33.081,24116,579528,598316,2857900,74188,48,9092,2745304931,12
33.465,24116,552588,598316,2856844,74188,47,9092,2745305382,12
34.8,24116,552588,598316,2856844,74188,47,9092,2745306983,12
36.122,24116,552588,598316,2856844,74188,47,9092,2745308585,12
37.471,24116,551396,598316,2856844,74188,47,9120,2745310188,12
