elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.118,24151,42220,42220,1869568,92688,21,26,2745367203,12
1.404,24151,173664,173664,2473680,84660,49,132,2745368725,12
2.705,24151,370260,370260,2501584,84560,49,391,2745370296,12
4.01,24151,368392,371712,2504912,84524,49,573,2745371864,12
5.308,24151,372488,372488,2508240,84480,49,782,2745373409,12
6.633,24151,377876,377876,2513360,84448,49,1048,2745375034,12
7.968,24151,384216,384304,2516176,84432,49,1296,2745376598,12
9.276,24151,389232,389232,2519760,84420,49,1511,2745378181,12
10.613,24151,387408,392632,2514384,82944,49,1741,2745379795,12
11.97,24151,387960,392632,2514384,82944,49,1956,2745381430,12
13.319,24151,389940,392632,2514640,82932,49,2214,2745383073,12
14.66,24151,386172,392632,2506640,82912,47,2468,2745384628,12
15.958,24151,389668,392632,2506896,82912,47,2667,2745386192,12
17.275,24151,390340,394284,2503568,82868,47,2954,2745387808,12
17.65,24151,390340,394284,2503568,82868,47,2954,2745388288,12
18.993,24151,390340,394284,2503568,82868,47,2954,2745389863,12
20.317,24151,389516,394284,2502512,82868,46,2955,2745391464,12
21.645,24151,389516,394284,2502512,82868,46,2955,2745393069,12
