elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.139,51985,140312,140312,177252,68,24,30,4381465894,12
1.411,51985,330348,330348,1033920,68,51,192,4381467415,12
2.692,51985,328344,328344,1065408,68,51,341,4381468954,12
3.976,51985,513204,513204,1069504,68,51,622,4381470506,12
5.283,51985,519392,519392,1068832,68,46,795,4381472085,12
6.601,51985,525208,525208,1074752,68,47,1015,4381473670,12
7.937,51985,531224,531224,1077248,68,45,1254,4381475269,12
9.269,51985,537716,537716,1080256,68,43,1457,4381476862,12
10.607,51985,520716,520716,1062624,68,44,1699,4381478455,12
11.922,51985,588292,588292,1062176,68,46,1956,4381480058,12
13.269,51985,600084,600084,1070656,68,47,2228,4381481702,12
14.61,51985,599156,599156,1065760,68,46,2457,4381483288,12
15.921,51985,603768,603768,1068512,68,44,2680,4381484840,12
17.229,51985,599848,599848,1065184,68,44,2908,4381486421,12
18.533,51985,599196,599196,1064704,68,45,3128,4381487979,12
19.849,51985,605252,605252,1068800,68,45,3385,4381489573,12
21.162,51985,601176,601176,1064416,68,44,3610,4381491129,12
22.467,51985,603612,603612,1065408,68,43,3861,4381492702,12
23.81,51985,608276,608276,1070368,68,46,4102,4381494354,12
25.16,51985,608864,608864,1070624,68,46,4326,4381495983,12
26.521,51985,608852,608852,1069568,68,45,4565,4381497595,12
27.876,51985,608988,608988,1070080,68,45,4807,4381499229,12
29.225,51985,609100,609100,1069792,68,44,5041,4381500868,12
30.57,51985,610020,610020,1070048,68,44,5274,4381502437,12
31.855,51985,610984,610984,1069248,68,43,5515,4381503995,12
33.168,51985,611664,611664,1069248,68,43,5704,4381505544,12
34.457,51985,628752,628752,1081600,68,45,5919,4381507111,12
34.799,51985,628752,628752,1081600,68,45,5919,4381507518,12
36.093,51985,624356,624356,1080544,68,44,5921,4381509064,12
37.388,51985,624356,624356,1080544,68,44,5922,4381510634,12
38.7,51985,624356,624356,1080544,68,44,5922,4381512208,12
