elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.173,5281,139428,139428,160904,68,25,32,5233315534,12
1.419,5281,259272,259272,1061252,68,73,198,5233317026,12
2.673,5281,549840,549840,1449316,68,72,426,5233318540,12
3.92,5281,567092,567092,1453668,68,72,633,5233320024,12
5.206,5281,572948,572948,1451652,68,65,872,5233321622,12
6.518,5281,590020,590020,1458628,68,67,1103,5233323168,12
7.828,5281,583296,583296,1462980,68,67,1331,5233324769,12
9.131,5281,581752,581752,1474500,68,67,1579,5233326302,12
10.458,5281,587384,587384,1479108,68,67,1828,5233327918,12
11.754,5281,599556,599556,1477092,68,68,2074,5233329436,12
13.035,5281,606168,606168,1482468,68,68,2393,5233330978,12
14.303,5281,610328,610328,1516964,68,66,2668,5233332505,12
15.595,5281,611112,611112,1523140,68,67,2973,5233334062,12
16.891,5281,636692,636692,1518532,68,67,3280,5233335628,12
18.223,5281,630372,630372,1520068,68,67,3496,5233337248,12
19.543,5281,643136,643136,1523396,68,67,3799,5233338785,12
20.853,5281,638616,638616,1519268,68,66,4079,5233340402,12
22.147,5281,678468,678468,1526212,68,67,4408,5233341908,12
23.44,5281,677844,677844,1523140,68,67,4561,5233343463,12
24.721,5281,680764,680764,1523652,68,67,4881,5233344991,12
26.034,5281,677736,677736,1524420,68,67,5070,5233346594,12
27.341,5281,641672,641672,1523364,68,66,5406,5233348151,12
28.644,5281,649860,649860,1523364,68,66,5685,5233349722,12
29.931,5281,647296,647296,1524420,68,67,5989,5233351255,12
31.252,5281,654948,654948,1524676,68,67,6260,5233352829,12
32.561,5281,655588,655588,1524676,68,67,6604,5233354404,12
33.853,5281,661588,661588,1526212,68,67,6830,5233355988,12
35.168,5281,660428,660428,1526212,68,67,7200,5233357575,12
36.525,5281,669880,669880,1525196,68,66,7466,5233359175,12
37.843,5281,670168,670168,1527780,68,68,7740,5233360754,12
39.123,5281,681720,681720,1527780,68,68,8005,5233362297,12
40.422,5281,674272,674272,1527780,68,68,8371,5233363846,12
41.71,5281,686544,686544,1526724,68,67,8610,5233365402,12
43.003,5281,681472,681472,1528292,68,68,8991,5233366944,12
44.297,5281,702016,702016,1531364,68,68,9221,5233368497,12
45.597,5281,692776,692776,1530308,68,67,9567,5233370092,12
46.9,5281,705892,705892,1532868,68,67,9855,5233371604,12
48.203,5281,702076,702076,1535716,68,68,10059,5233373192,12
49.472,5281,732732,732732,1536228,68,68,10356,5233374693,12
50.79,5281,672876,672876,1535172,68,67,10564,5233376282,12
52.061,5281,681464,681464,1535940,68,67,10873,5233377828,12
53.381,5281,677176,677176,1536452,68,67,11172,5233379404,12
54.671,5281,682060,682060,1536452,68,67,11517,5233380933,12
55.937,5281,677392,677392,1536452,68,67,11788,5233382476,12
57.225,5281,691228,691228,1538276,68,68,12143,5233384005,12
58.505,5281,689572,689572,1537220,68,67,12458,5233385542,12
59.79,5281,688888,688888,1537220,68,67,12796,5233387073,12
61.057,5281,689956,689956,1537220,68,67,13062,5233388588,12
62.325,5281,710600,710600,1557284,68,70,13346,5233390150,12
63.633,5281,708336,708336,1557324,68,70,13614,5233391706,12
64.918,5281,710724,710724,1555172,68,68,13978,5233393229,12
66.182,5281,710204,710204,1556228,68,69,14233,5233394755,12
67.452,5281,712840,712840,1554116,68,67,14566,5233396272,12
68.717,5281,713472,713472,1554116,68,67,14829,5233397830,12
70.02,5281,718800,718800,1554116,68,67,15231,5233399350,12
71.284,5281,719532,719532,1553060,68,66,15469,5233400880,12
72.57,5281,685364,685364,1558508,68,71,15817,5233402414,12
73.876,5281,675000,675000,1558340,68,71,16102,5233403988,12
75.179,5281,686020,686020,1557284,68,70,16470,5233405590,12
76.514,5281,692832,692832,1553060,68,66,16648,5233407149,12
77.808,5281,692388,692388,1554116,68,67,16941,5233408703,12
79.084,5281,701824,701824,1554116,68,67,17195,5233410228,12
80.357,5281,697248,697248,1554116,68,67,17526,5233411806,12
81.662,5281,711488,711488,1553060,68,66,17792,5233413332,12
82.952,5281,712492,712492,1554116,68,67,18063,5233414913,12
84.248,5281,719400,719400,1603268,68,67,18306,5233416429,12
85.553,5281,721572,721572,1603268,68,67,18581,5233418064,12
86.884,5281,738580,738580,1603268,68,67,18873,5233419590,12
88.177,5281,693624,693624,1604836,68,68,19127,5233421171,12
89.462,5281,675824,675824,1604836,68,68,19411,5233422692,12
90.733,5281,687708,687708,1605892,68,69,19729,5233424216,12
91.991,5281,698796,698796,1605892,68,69,20015,5233425729,12
93.262,5281,690308,690308,1603780,68,67,20293,5233427242,12
94.52,5281,696464,696464,1603780,68,67,20585,5233428756,12
95.801,5281,706852,706852,1604548,68,67,20926,5233430289,12
97.063,5281,703848,703848,1604548,68,67,21239,5233431804,12
98.352,5281,711000,711000,1604260,68,66,21498,5233433382,12
99.664,5281,713308,713308,1604260,68,66,21777,5233434931,12
100.966,5281,715360,715360,1604260,68,66,22009,5233436536,12
102.315,5281,713380,713380,1605316,68,67,22307,5233438138,12
103.613,5281,727404,727404,1604292,68,67,22591,5233439703,12
104.929,5281,731024,731024,1603236,68,66,22845,5233441267,12
106.219,5281,729116,729116,1604292,68,67,23086,5233442803,12
107.522,5281,731404,731404,1605348,68,68,23438,5233444380,12
108.817,5281,733172,733172,1606116,68,68,23759,5233445924,12
110.087,5281,693580,693580,1606312,68,67,24094,5233447454,12
111.359,5281,693552,693552,1605284,68,66,24401,5233448962,12
112.636,5281,699804,699804,1605284,68,66,24732,5233450487,12
113.912,5281,696908,696908,1606340,68,67,24937,5233452035,12
115.173,5281,710068,710068,1607108,68,67,25278,5233453529,12
116.433,5281,725116,725116,1607876,68,67,25612,5233455059,12
117.739,5281,728848,728848,1607876,68,67,25994,5233456610,12
119.001,5281,732808,732808,1606820,68,66,26250,5233458133,12
120.26,5281,739204,739204,1604036,68,67,26540,5233459657,12
121.547,5281,713996,713996,1605604,68,68,26834,5233461183,12
122.849,5281,675596,675596,1605604,68,68,27195,5233462777,12
124.141,5281,686756,686756,1605604,68,68,27441,5233464314,12
125.449,5281,684668,684668,1605604,68,68,27727,5233465911,12
126.786,5281,698416,698416,1603204,68,65,28032,5233467516,12
128.083,5281,702484,702484,1606084,68,67,28396,5233469034,12
129.345,5281,712992,712992,1606084,68,67,28723,5233470554,12
130.651,5281,707232,707232,1606084,68,67,28983,5233472138,12
131.943,5281,711412,711412,1605540,68,66,29353,5233473661,12
133.222,5281,723172,723172,1601476,68,67,29691,5233475244,12
134.524,5281,734636,734636,1601476,68,67,30001,5233476759,12
135.834,5281,725952,725952,1601476,68,67,30250,5233478373,12
137.128,5281,727740,727740,1601732,68,67,30569,5233479890,12
138.384,5281,705704,705704,1602500,68,67,30802,5233481389,12
139.653,5281,702052,702052,1605892,68,69,31206,5233482907,12
140.922,5281,699752,699752,1605892,68,69,31486,5233484488,12
142.248,5281,712956,712956,1605892,68,69,31824,5233486025,12
143.518,5281,705860,705860,1603780,68,67,32062,5233487587,12
144.814,5281,715540,715540,1601668,68,65,32330,5233489108,12
146.069,5281,723792,723792,1605316,68,67,32712,5233490652,12
147.365,5281,723696,723696,1605316,68,67,33068,5233492174,12
