elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.169,10826,136876,136876,159824,76,23,31,5233600108,12
1.444,10826,272832,272832,1089412,68,73,201,5233601637,12
2.733,10826,550580,550580,1123684,68,72,429,5233603210,12
4.021,10826,576736,576736,1148772,68,72,661,5233604723,12
5.347,10826,576388,576388,1147812,68,66,912,5233606354,12
6.709,10826,591944,591944,1154788,68,68,1156,5233607992,12
8.061,10826,586076,586076,1159652,68,68,1369,5233609621,12
9.376,10826,587916,587916,1166308,68,68,1654,5233611161,12
10.662,10826,576108,576108,1169348,68,67,1941,5233612701,12
11.942,10826,584476,584476,1167844,68,68,2269,5233614287,12
13.312,10826,580924,580924,1167332,68,68,2451,5233615935,12
14.648,10826,588068,588068,1169348,68,67,2780,5233617473,12
15.974,10826,586652,586652,1167044,68,67,3108,5233619111,12
17.306,10826,627284,627284,1501412,68,68,3454,5233620664,12
18.576,10826,616404,616404,1497316,68,68,3712,5233622184,12
19.879,10826,637100,637100,1501156,68,68,4098,5233623785,12
21.195,10826,620600,620600,1496516,68,67,4343,5233625355,12
22.509,10826,658592,658592,1500900,68,68,4582,5233626947,12
23.864,10826,657528,657528,1500900,68,68,4809,5233628556,12
25.161,10826,659700,659700,1501156,68,68,5191,5233630116,12
26.467,10826,662604,662604,1501412,68,68,5340,5233631672,12
27.784,10826,673324,673324,1500612,68,67,5711,5233633282,12
29.119,10826,674360,674360,1500868,68,67,5966,5233634849,12
30.403,10826,682408,682408,1535204,68,68,6293,5233636409,12
31.718,10826,677024,677024,1535204,68,68,6564,5233637967,12
33.039,10826,640192,640192,1536772,68,69,6889,5233639597,12
34.412,10826,639176,639176,1537284,68,69,7178,5233641197,12
35.703,10826,635280,635280,1537284,68,69,7485,5233642793,12
37.048,10826,647056,647056,1535428,68,67,7687,5233644370,12
38.388,10826,638648,638648,1536484,68,68,7979,5233645976,12
39.692,10826,654396,654396,1536484,68,68,8329,5233647532,12
41.007,10826,645384,645384,1536484,68,68,8623,5233649120,12
42.303,10826,645360,645360,1536484,68,68,8967,5233650674,12
43.623,10826,646276,646276,1535428,68,67,9221,5233652258,12
44.924,10826,654776,654776,1539300,68,68,9531,5233653821,12
46.235,10826,653892,653892,1539300,68,68,9784,5233655434,12
47.57,10826,666444,666444,1540612,68,69,10041,5233657001,12
48.92,10826,659120,659120,1540612,68,69,10269,5233658628,12
50.241,10826,658152,658152,1538756,68,67,10579,5233660196,12
51.55,10826,669444,669444,1538756,68,67,10780,5233661777,12
52.863,10826,663476,663476,1539812,68,68,11101,5233663378,12
54.19,10826,672568,672568,1539812,68,68,11378,5233664942,12
55.531,10826,667452,667452,1539812,68,68,11708,5233666566,12
56.847,10826,672216,672216,1539812,68,68,12009,5233668122,12
58.191,10826,671500,671500,1538756,68,67,12333,5233669785,12
59.54,10826,675636,675636,1539012,68,67,12655,5233671361,12
60.87,10826,680336,680336,1540068,68,68,12968,5233672939,12
62.158,10826,682688,682688,1543940,68,69,13292,5233674496,12
63.473,10826,647720,647720,1544196,68,69,13576,5233676104,12
64.787,10826,648140,648140,1543140,68,68,13859,5233677695,12
66.135,10826,646640,646640,1543140,68,68,14172,5233679269,12
67.435,10826,648972,648972,1543140,68,68,14562,5233680859,12
68.753,10826,651872,651872,1542084,68,67,14803,5233682401,12
70.044,10826,651016,651016,1543140,68,68,15160,5233683967,12
71.351,10826,651740,651740,1543140,68,68,15402,5233685536,12
72.666,10826,655776,655776,1544708,68,69,15741,5233687099,12
73.973,10826,661372,661372,1544708,68,69,15957,5233688676,12
75.312,10826,660728,660728,1542852,68,67,16282,5233690309,12
76.623,10826,668892,668892,1542852,68,67,16528,5233691839,12
77.916,10826,667708,667708,1543908,68,68,16823,5233693383,12
79.171,10826,675660,675660,1544164,68,68,16966,5233694897,12
80.485,10826,672484,672484,1544164,68,68,17264,5233696508,12
81.809,10826,672684,672684,1543108,68,67,17568,5233698089,12
83.159,10826,670400,670400,1544676,68,68,17759,5233699738,12
84.493,10826,676408,676408,1545732,68,69,18058,5233701296,12
85.79,10826,673788,673788,1545188,68,68,18327,5233702851,12
87.071,10826,676968,676968,1545188,68,68,18638,5233704387,12
88.374,10826,678292,678292,1547300,68,70,18858,5233705961,12
89.701,10826,687324,687324,1546244,68,69,19176,5233707573,12
91.1,10826,680164,680164,1545444,68,68,19376,5233709321,12
92.569,10826,684096,684096,1546500,68,69,19741,5233710983,12
93.858,10826,647832,647832,1546500,68,69,19986,5233712514,12
95.152,10826,652804,652804,1546500,68,69,20349,5233714093,12
96.481,10826,655744,655744,1546500,68,69,20637,5233715711,12
97.835,10826,657552,657552,1545668,68,67,20921,5233717303,12
99.121,10826,668988,668988,1545668,68,67,21195,5233718851,12
100.426,10826,656896,656896,1545668,68,67,21441,5233720439,12
101.734,10826,666664,666664,1546724,68,68,21715,5233721988,12
103.069,10826,655844,655844,1546724,68,68,22015,5233723593,12
104.392,10826,663584,663584,1545668,68,67,22302,5233725166,12
105.706,10826,660604,660604,1546724,68,68,22551,5233726746,12
106.99,10826,672428,672428,1548036,68,69,22864,5233728306,12
108.316,10826,666500,666500,1548036,68,69,23166,5233729890,12
109.605,10826,667504,667504,1546436,68,67,23444,5233731428,12
110.907,10826,669792,669792,1546436,68,67,23756,5233733033,12
112.219,10826,673812,673812,1547492,68,68,24099,5233734566,12
113.528,10826,673824,673824,1547492,68,68,24340,5233736198,12
114.871,10826,677472,677472,1547492,68,68,24693,5233737769,12
116.228,10826,677028,677028,1547492,68,68,24862,5233739373,12
117.528,10826,678372,678372,1547492,68,68,25242,5233740953,12
118.854,10826,680712,680712,1547492,68,68,25519,5233742529,12
120.173,10826,682552,682552,1542372,68,68,25838,5233744150,12
121.494,10826,687776,687776,1542372,68,68,26070,5233745705,12
122.819,10826,685584,685584,1541316,68,67,26399,5233747309,12
124.14,10826,684800,684800,1542372,68,68,26684,5233748882,12
125.475,10826,652796,652796,1542372,68,68,26990,5233750470,12
126.773,10826,659744,659744,1542372,68,68,27253,5233752025,12
128.084,10826,653892,653892,1542372,68,68,27613,5233753639,12
129.419,10826,662600,662600,1542372,68,68,27894,5233755215,12
130.731,10826,657324,657324,1542628,68,68,28297,5233756812,12
132.042,10826,670416,670416,1546500,68,69,28585,5233758362,12
133.373,10826,665480,665480,1547012,68,69,28878,5233759975,12
134.693,10826,667260,667260,1544900,68,67,29216,5233761526,12
136.003,10826,666332,666332,1544900,68,67,29474,5233763105,12
137.294,10826,672472,672472,1545956,68,68,29808,5233764650,12
138.626,10826,675524,675524,1547012,68,69,30043,5233766276,12
139.955,10826,676520,676520,1546980,68,68,30368,5233767872,12
141.302,10826,675680,675680,1546980,68,68,30622,5233769467,12
142.6,10826,684160,684160,1546980,68,68,30988,5233771015,12
143.909,10826,681812,681812,1546980,68,68,31214,5233772644,12
145.253,10826,684064,684064,1546980,68,68,31607,5233774211,12
146.561,10826,690996,690996,1546980,68,68,31888,5233775792,12
147.872,10826,685504,685504,1546980,68,68,32233,5233777360,12
149.169,10826,693800,693800,1546980,68,68,32525,5233778912,12
150.469,10826,687224,687224,1546980,68,68,32863,5233780480,12
151.775,10826,657688,657688,1546980,68,68,33144,5233782033,12
153.067,10826,654284,654284,1546980,68,68,33503,5233783610,12
154.383,10826,659080,659080,1547492,68,68,33822,5233785204,12
155.695,10826,661704,661704,1547492,68,68,34146,5233786750,12
157.036,10826,668912,668912,1547492,68,68,34469,5233788337,12
158.317,10826,665716,665716,1547492,68,68,34753,5233789920,12
159.643,10826,675876,675876,1547492,68,68,35058,5233791479,12
160.953,10826,670524,670524,1548548,68,69,35298,5233793080,12
162.266,10826,674476,674476,1548548,68,69,35638,5233794635,12
163.606,10826,679560,679560,1547492,68,68,35877,5233796256,12
164.9,10826,687948,687948,1548548,68,69,36230,5233797810,12
166.212,10826,675088,675088,1548548,68,69,36473,5233799389,12
167.528,10826,681292,681292,1548548,68,69,36763,5233800951,12
168.848,10826,679964,679964,1547492,68,68,37017,5233802532,12
170.161,10826,688024,688024,1547492,68,68,37334,5233804098,12
171.456,10826,681800,681800,1546436,68,67,37599,5233805657,12
172.765,10826,685232,685232,1547492,68,68,37891,5233807222,12
174.046,10826,696312,696312,1547492,68,68,38146,5233808739,12
175.346,10826,686552,686552,1547492,68,68,38517,5233810314,12
176.634,10826,664576,664576,1548548,68,69,38789,5233811847,12
177.921,10826,662928,662928,1549316,68,69,39104,5233813432,12
179.216,10826,669380,669380,1549316,68,69,39381,5233814949,12
180.502,10826,660648,660648,1547204,68,67,39683,5233816521,12
181.789,10826,674504,674504,1550372,68,70,40113,5233818046,12
183.066,10826,671456,671456,1550372,68,70,40244,5233819574,12
184.373,10826,336656,336656,1528708,68,49,40297,5233821173,12
