elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.133,37352,48248,48248,1869580,91360,21,30,3381693363,12
1.428,37352,241432,241432,2790800,84544,71,197,3381694873,12
2.712,37352,476832,476868,3158928,84480,71,397,3381696435,12
4.003,37352,502440,502440,3187344,84408,71,620,3381698003,12
5.344,37352,494920,504488,3190928,84356,71,853,3381699624,12
6.654,37352,518640,519372,3195024,84320,71,1132,3381701190,12
7.997,37352,531576,531808,3200400,84304,71,1362,3381702793,12
9.321,37352,542460,547944,3234704,84292,71,1672,3381704364,12
10.639,37352,524108,547944,3224720,82840,71,2005,3381705954,12
11.967,37352,547640,547944,3224976,82828,71,2217,3381707537,12
13.329,37352,530296,547944,3218320,82824,71,2522,3381709179,12
14.629,37352,543860,547944,3211632,82824,70,2859,3381710729,12
15.954,37352,546536,548716,3211856,82764,69,3060,3381712345,12
17.28,37352,544024,550416,3213904,82756,69,3415,3381713926,12
18.625,37352,551164,552108,3216720,82756,69,3679,3381715563,12
19.968,37352,553168,566752,3250224,82748,68,4056,3381717157,12
21.325,37352,564200,566752,3250736,77864,68,4339,3381718765,12
22.609,37352,567328,577448,3251760,77864,68,4722,3381720295,12
23.908,37352,568880,577448,3252016,77864,68,5009,3381721867,12
25.188,37352,578128,582956,3255344,77860,68,5364,3381723397,12
26.482,37352,604252,625428,3253296,74236,68,5716,3381724975,12
27.792,37352,588728,625428,3253296,74236,68,6179,3381726557,12
29.116,37352,598004,625428,3253296,74236,68,6503,3381728122,12
30.399,37352,597648,625428,3254320,74236,68,6901,3381729671,12
31.69,37352,605788,625428,3253264,74236,67,7248,3381731201,12
32.979,37352,611580,625428,3258160,74236,68,7523,3381732755,12
34.275,37352,616564,625428,3258160,74236,68,7867,3381734345,12
35.63,37352,615960,625428,3258160,74236,68,8168,3381735967,12
36.977,37352,620620,628008,3258160,74236,68,8493,3381737545,12
38.274,37352,618504,629304,3259184,74236,68,8855,3381739152,12
39.611,37352,619520,631308,3259184,74228,68,9194,3381740725,12
40.949,37352,623820,631308,3259184,74228,68,9499,3381742361,12
42.305,37352,629616,640972,3258128,74228,67,9777,3381743975,12
43.621,37352,620972,640972,3259184,74208,68,10079,3381745531,12
44.924,37352,593312,640972,3260240,74208,69,10447,3381747105,12
46.273,37352,596784,640972,3260752,74208,69,10631,3381748731,12
47.598,37352,597212,640972,3261008,74208,69,11000,3381750294,12
48.921,37352,603532,640972,3261520,74208,69,11255,3381751893,12
50.252,37352,603972,640972,3261520,74208,69,11552,3381753511,12
51.581,37352,616968,640972,3262032,74208,69,11838,3381755086,12
52.881,37352,619560,640972,3264080,74208,69,12197,3381756642,12
54.221,37352,623028,640972,3264080,74208,69,12521,3381758234,12
55.536,37352,623956,640972,3264080,74208,69,12775,3381759824,12
56.845,37352,630132,640972,3264080,74208,69,13092,3381761398,12
58.186,37352,631028,640972,3262480,74208,67,13427,3381763028,12
59.512,37352,635528,643120,3264048,74208,68,13738,3381764595,12
60.833,37352,638524,643120,3263024,74208,68,13970,3381766167,12
62.114,37352,602892,643120,3263192,73584,68,14330,3381767713,12
63.462,37352,603864,643120,3263024,73584,68,14649,3381769371,12
64.791,37352,620584,643120,3263024,73584,68,14986,3381770965,12
66.139,37352,622392,643120,3263024,73584,68,15226,3381772579,12
67.491,37352,617588,643120,3263704,73584,68,15595,3381774214,12
68.825,37352,618768,643120,3263536,73584,68,15843,3381775774,12
70.142,37352,621828,643120,3263536,73580,68,16132,3381777383,12
71.475,37352,632912,643120,3263536,73580,68,16409,3381778967,12
72.818,37352,628024,643120,3264048,73580,68,16593,3381780564,12
74.119,37352,639576,645228,3264048,73580,68,16948,3381782146,12
75.447,37352,634408,645228,3262992,73580,67,17191,3381783771,12
76.812,37352,637084,645228,3264048,73580,68,17478,3381785349,12
78.112,37352,634432,645228,3264048,73580,68,17678,3381786983,12
79.459,37352,605632,645228,3263568,73580,69,18129,3381788527,12
80.765,37352,606712,645228,3264080,73580,69,18495,3381790112,12
82.062,37352,623936,645228,3264080,73576,69,18776,3381791653,12
83.347,37352,614268,645228,3264080,73576,69,19043,3381793206,12
84.652,37352,621408,645228,3264080,73576,69,19347,3381794774,12
85.976,37352,615960,645228,3264080,73576,69,19590,3381796358,12
87.282,37352,626480,645228,3264592,73576,69,19945,3381797918,12
88.581,37352,627228,645228,3263536,73576,68,20234,3381799495,12
89.903,37352,628676,645228,3264592,73576,69,20595,3381801070,12
