elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.151,35124,44068,44068,1869572,92636,21,31,3381571272,12
1.451,35124,222648,222648,2814064,84576,70,198,3381572778,12
2.72,35124,481364,483432,3145328,84496,70,402,3381574304,12
3.99,35124,495568,501984,3190128,84424,70,609,3381575827,12
5.302,35124,506616,507092,3195504,84376,70,852,3381577433,12
6.617,35124,528980,528980,3224688,84316,70,1053,3381578983,12
7.939,35124,529028,535724,3230832,84312,70,1383,3381580582,12
9.234,35124,525396,535724,3222896,82848,70,1645,3381582148,12
10.572,35124,523840,535724,3222896,82844,70,1924,3381583761,12
11.878,35124,543368,543368,3222896,82840,70,2254,3381585294,12
13.192,35124,524236,544160,3211376,82828,70,2550,3381586878,12
14.492,35124,530748,544160,3208528,82784,69,2880,3381588444,12
15.821,35124,528008,544160,3207472,82764,68,3251,3381590034,12
17.11,35124,565792,565792,3208976,77868,67,3606,3381591584,12
18.39,35124,593888,604416,3218480,77856,68,3927,3381593156,12
19.725,35124,600392,608368,3218448,77856,67,4245,3381594722,12
21.037,35124,601808,608368,3218704,77856,67,4585,3381596342,12
22.37,35124,616552,617588,3219472,77856,67,4963,3381597894,12
23.654,35124,610908,618536,3221264,77856,67,5272,3381599489,12
25.021,35124,616728,625940,3222544,77856,67,5537,3381601082,12
26.328,35124,582684,625940,3220496,74240,67,5806,3381602682,12
27.638,35124,579700,625940,3220752,74240,67,6194,3381604248,12
28.984,35124,581680,625940,3220752,74240,67,6506,3381605824,12
30.284,35124,584644,625940,3221488,74240,66,6767,3381607399,12
31.58,35124,595876,625940,3222544,74240,67,7084,3381608970,12
32.888,35124,596188,625940,3222544,74240,67,7466,3381610513,12
34.185,35124,606944,625940,3222544,74240,67,7796,3381612071,12
35.482,35124,605692,625940,3223568,74240,67,8208,3381613630,12
36.784,35124,616544,626216,3227920,74240,67,8567,3381615236,12
38.12,35124,617144,626216,3227920,74240,67,8956,3381616810,12
39.422,35124,618628,630684,3227920,74240,67,9250,3381618353,12
40.706,35124,623336,630684,3227920,74240,67,9616,3381619895,12
41.985,35124,637416,643420,3279376,73624,67,9894,3381621446,12
43.29,35124,625456,643420,3277616,73608,68,10249,3381623037,12
44.613,35124,600640,643420,3277616,73608,68,10578,3381624604,12
45.95,35124,599384,643420,3277616,73608,68,10929,3381626244,12
47.296,35124,615152,643420,3276016,73608,66,11199,3381627827,12
48.663,35124,607488,643420,3276016,73608,66,11508,3381629485,12
50.012,35124,622260,643420,3277072,73608,67,11811,3381631104,12
51.37,35124,611616,643420,3277072,73608,67,12074,3381632711,12
52.672,35124,628084,643420,3278096,73608,67,12506,3381634258,12
53.956,35124,630212,643420,3278096,73608,67,12787,3381635798,12
55.277,35124,629280,643420,3278096,73608,67,13200,3381637377,12
56.57,35124,640400,645632,3278608,73608,67,13407,3381638968,12
57.919,35124,632356,645632,3278608,73608,67,13780,3381640605,12
59.255,35124,648608,655160,3278608,73608,67,14059,3381642167,12
60.566,35124,603400,655160,3277616,73608,68,14477,3381643735,12
61.867,35124,622204,655160,3278128,73608,68,14700,3381645299,12
63.166,35124,608904,655160,3278128,73608,68,15093,3381646907,12
64.504,35124,617176,655160,3278128,73608,68,15415,3381648454,12
65.84,35124,615384,655160,3278128,73608,68,15746,3381650058,12
67.135,35124,622124,655160,3278640,73608,68,16115,3381651633,12
68.458,35124,622252,655160,3278640,73608,68,16481,3381653196,12
69.744,35124,643892,655160,3278640,73608,68,16838,3381654738,12
71.044,35124,626840,655160,3278640,73608,68,17223,3381656311,12
72.331,35124,649752,655160,3281784,73592,69,17548,3381657839,12
73.623,35124,653200,657836,3281368,73592,68,17954,3381659407,12
74.923,35124,647484,661748,3280208,73580,69,18313,3381660948,12
76.207,35124,601644,661748,3280208,73580,69,18636,3381662542,12
77.58,35124,611992,661748,3280208,73580,69,19034,3381664165,12
78.909,35124,623004,661748,3281232,73580,69,19304,3381665753,12
80.22,35124,621652,661748,3281232,73580,69,19685,3381667318,12
81.539,35124,633664,661748,3281232,73580,69,19958,3381668916,12
82.885,35124,625892,661748,3281232,73580,69,20256,3381670552,12
84.242,35124,632040,661748,3281744,73572,69,20553,3381672146,12
85.556,35124,651224,661748,3281200,73572,68,20960,3381673751,12
86.89,35124,657764,671784,3281200,73572,68,21225,3381675315,12
88.189,35124,658080,671784,3281200,73572,68,21553,3381676944,12
89.569,35124,622492,671784,3278096,73572,67,21895,3381678558,12
90.874,35124,612216,671784,3278096,73572,67,22212,3381680143,12
92.23,35124,281012,671784,3256432,73572,46,22442,3381681750,12
92.577,35124,281012,671784,3256432,73572,46,22442,3381682189,12
93.928,35124,281012,671784,3256432,73572,46,22442,3381683799,12
95.253,35124,281012,671784,3256432,73572,46,22442,3381685400,12
96.612,35124,281012,671784,3256432,73572,46,22442,3381687031,12
