elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.145,40744,41712,41712,1861412,92860,22,29,3381939724,12
1.442,40744,215292,215292,2804880,84640,71,198,3381941243,12
2.724,40744,474740,474980,3166864,84544,71,393,3381942789,12
3.995,40744,493400,500524,3191184,84468,71,597,3381944342,12
5.348,40744,495616,500524,3195024,84420,71,825,3381945997,12
6.673,40744,509528,510180,3198608,84388,71,1109,3381947579,12
8.029,40744,510720,513748,3203984,84356,71,1381,3381949183,12
9.357,40744,535272,535272,3209360,84344,71,1676,3381950753,12
10.676,40744,526612,542972,3199888,82880,71,1965,3381952342,12
11.993,40744,543276,548132,3199888,82868,71,2176,3381953922,12
13.309,40744,535900,548132,3193488,82824,71,2474,3381955519,12
14.618,40744,535816,550980,3221616,82824,70,2797,3381957066,12
15.94,40744,538592,550980,3219024,82792,69,3029,3381958691,12
17.277,40744,541664,551556,3219280,82792,69,3381,3381960278,12
18.63,40744,548040,551556,3221328,82788,69,3719,3381961933,12
19.965,40744,552744,560080,3224624,82788,68,4128,3381963496,12
21.31,40744,556732,560080,3224880,82788,68,4396,3381965111,12
22.605,40744,556736,569556,3225136,82788,68,4771,3381966634,12
23.925,40744,560908,569556,3225392,82788,68,5070,3381968239,12
25.218,40744,568420,575336,3228720,82784,68,5427,3381969784,12
26.515,40744,616240,616240,3228976,82784,68,5752,3381971360,12
27.833,40744,612900,623256,3269936,82784,68,6203,3381972956,12
29.161,40744,623412,627888,3270192,82784,68,6525,3381974523,12
30.462,40744,629036,629548,3270448,82784,68,6913,3381976098,12
31.758,40744,588324,635624,3269680,79156,68,7268,3381977637,12
33.073,40744,587032,635624,3273264,79156,68,7529,3381979212,12
34.373,40744,597484,635624,3273264,79156,68,7854,3381980796,12
35.717,40744,600832,635624,3273264,79156,68,8136,3381982422,12
37.04,40744,592796,635624,3273520,79156,68,8450,3381983983,12
38.36,40744,596852,635624,3273520,79156,68,8797,3381985585,12
39.697,40744,598696,635624,3273520,79156,68,9138,3381987175,12
