elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.137,7429,44952,44952,1859300,91716,20,32,3386325310,12
1.413,7429,214820,214820,2782352,84560,71,197,3386326820,12
2.704,7429,474308,474472,3166864,84488,71,395,3386328374,12
3.972,7429,490728,499176,3170704,84416,71,608,3386329909,12
5.299,7429,492624,499176,3174544,84364,71,853,3386331518,12
6.603,7429,511180,511180,3178640,84332,71,1130,3386333112,12
7.983,7429,512320,513324,3184016,84312,71,1383,3386334732,12
9.308,7429,535256,535256,3189392,84300,71,1678,3386336304,12
10.638,7429,528964,543648,3212432,82848,71,1990,3386337898,12
11.943,7429,543108,550612,3212688,82836,71,2239,3386339459,12
13.25,7429,528480,550612,3206288,82796,71,2530,3386341049,12
14.549,7429,546976,550612,3201648,82772,70,2869,3386342598,12
15.868,7429,539960,551896,3198000,82764,68,3097,3386344208,12
17.215,7429,545308,556164,3198000,82764,68,3428,3386345822,12
18.557,7429,555068,556164,3200304,82752,68,3749,3386347428,12
19.885,7429,557860,567940,3203600,82752,67,4112,3386349056,12
21.273,7429,567832,569908,3204624,77868,67,4389,3386350668,12
22.562,7429,569856,581100,3246352,77868,67,4779,3386352209,12
23.893,7429,577080,581100,3246352,77868,67,5086,3386353816,12
25.198,7429,589188,589188,3249680,77868,67,5425,3386355379,12
26.507,7429,610652,636132,3248144,74248,67,5779,3386356977,12
27.847,7429,590724,636132,3248144,74248,67,6207,3386358556,12
29.157,7429,601600,636132,3248144,74248,67,6537,3386360129,12
30.476,7429,600232,636132,3249424,74248,67,6948,3386361718,12
31.77,7429,607664,636132,3249136,74248,66,7299,3386363258,12
33.085,7429,608884,636132,3253008,74240,67,7598,3386364834,12
34.38,7429,616804,636132,3253008,74240,67,7980,3386366398,12
35.723,7429,613816,636132,3253008,74240,67,8259,3386368036,12
37.046,7429,617324,636132,3253008,74240,67,8570,3386369618,12
38.392,7429,624960,636132,3254032,74240,67,8924,3386371224,12
39.704,7429,623108,636132,3254032,74240,67,9293,3386372770,12
41.017,7429,624744,636132,3254032,74240,67,9588,3386374385,12
42.35,7429,628680,638416,3252976,74240,66,9869,3386375989,12
43.667,7429,625516,638416,3254032,74228,67,10176,3386377551,12
44.999,7429,601816,638416,3255600,74228,68,10550,3386379127,12
46.332,7429,600460,638416,3255600,74228,68,10717,3386380748,12
47.64,7429,601312,638416,3276336,74228,68,11095,3386382300,12
48.956,7429,606976,638416,3276848,74228,68,11356,3386383911,12
50.313,7429,609316,638416,3276848,74228,68,11673,3386385537,12
51.649,7429,620292,638416,3277872,74228,68,11982,3386387114,12
52.922,7429,620956,638416,3279408,74228,68,12335,3386388649,12
54.226,7429,628588,638416,3279408,74228,68,12640,3386390231,12
55.554,7429,626912,638416,3279408,74228,68,12918,3386391809,12
56.859,7429,635132,642264,3279408,74228,68,13242,3386393363,12
58.198,7429,638556,642264,3278864,74228,67,13574,3386394979,12
59.516,7429,655868,655868,3280432,74228,68,13887,3386396561,12
60.812,7429,658400,658400,3280432,74228,68,14122,3386398117,12
62.105,7429,612084,658420,3279288,73604,67,14474,3386399667,12
63.443,7429,609352,658420,3279120,73604,67,14777,3386401291,12
64.754,7429,616920,658420,3279120,73604,67,15105,3386402870,12
66.062,7429,615344,658420,3279120,73596,67,15353,3386404459,12
67.431,7429,638492,658420,3279672,73596,67,15592,3386406045,12
68.714,7429,635664,658420,3279632,73596,67,15941,3386407635,12
70.046,7429,626260,658420,3279632,73596,67,16227,3386409228,12
71.357,7429,624928,658420,3279632,73596,67,16477,3386410749,12
72.635,7429,630652,658420,3279632,73596,67,16660,3386412300,12
73.956,7429,640904,658420,3280144,73596,67,16960,3386413928,12
75.286,7429,639092,658420,3279088,73596,66,17246,3386415490,12
76.596,7429,648204,658420,3280144,73596,67,17448,3386417074,12
77.941,7429,639804,658420,3280144,73596,67,17726,3386418668,12
79.226,7429,627016,658420,3279664,73596,68,18071,3386420208,12
80.548,7429,607860,658420,3279664,73596,68,18489,3386421809,12
81.903,7429,623864,658420,3280176,73592,68,18726,3386423432,12
83.229,7429,619144,658420,3280176,73592,68,18995,3386425009,12
84.539,7429,623952,658420,3280176,73592,68,19315,3386426590,12
85.86,7429,618476,658420,3280176,73592,68,19599,3386428173,12
87.145,7429,633404,658420,3280688,73592,68,19968,3386429706,12
88.444,7429,632676,658420,3279632,73592,67,20289,3386431273,12
89.737,7429,634088,658420,3280688,73592,68,20636,3386432815,12
91.025,7429,635412,658420,3280688,73592,68,20984,3386434372,12
92.32,7429,650384,658420,3281200,73592,68,21258,3386435925,12
93.618,7429,643256,658420,3280144,73592,67,21615,3386437528,12
94.945,7429,647292,661000,3280656,73592,67,21910,3386439095,12
96.255,7429,650160,661000,3280656,73592,67,22177,3386440691,12
97.588,7429,648492,670612,3279120,73592,67,22592,3386442239,12
98.875,7429,628656,670612,3279120,73592,67,22916,3386443785,12
100.174,7429,641708,670612,3279632,73592,67,23236,3386445343,12
101.48,7429,637164,670612,3279632,73592,67,23559,3386446914,12
102.791,7429,640596,670612,3280144,73592,67,23922,3386448510,12
104.124,7429,651112,670612,3280144,73592,67,24234,3386450091,12
105.452,7429,648776,670612,3280400,73592,67,24554,3386451705,12
106.761,7429,655788,670612,3280400,73592,67,24864,3386453273,12
108.094,7429,649892,670612,3280400,73592,67,25170,3386454890,12
109.445,7429,680664,680680,3332112,73592,67,25422,3386456478,12
110.779,7429,639184,680768,3330064,73592,67,25754,3386458107,12
112.093,7429,622264,680768,3329808,73592,67,26109,3386459672,12
113.409,7429,618824,680768,3328752,73592,66,26448,3386461244,12
114.724,7429,629480,680768,3329808,73592,67,26803,3386462799,12
116.011,7429,623940,680768,3329808,73592,67,27094,3386464378,12
117.334,7429,643632,680768,3330032,73592,66,27403,3386465942,12
118.663,7429,636508,680768,3331088,73592,67,27729,3386467619,12
120.033,7429,644260,680768,3331088,73592,67,28106,3386469181,12
121.359,7429,641536,680768,3328016,73592,67,28401,3386470799,12
122.691,7429,644296,680768,3328016,73592,67,28814,3386472360,12
123.994,7429,685188,685188,3330576,73592,67,29114,3386473926,12
125.285,7429,668932,685196,3330576,73592,67,29540,3386475482,12
126.594,7429,643448,685196,3329584,73592,68,29881,3386477047,12
127.884,7429,607856,685196,3329584,73592,68,30141,3386478611,12
129.209,7429,619880,685196,3329584,73592,68,30325,3386480220,12
130.565,7429,638228,685196,3332656,73592,68,30641,3386481818,12
131.881,7429,649572,685196,3332656,73592,68,31005,3386483411,12
133.206,7429,643316,685196,3332656,73592,68,31258,3386485012,12
134.579,7429,654740,685196,3332912,73592,68,31538,3386486676,12
135.932,7429,664232,685196,3333424,73592,68,31714,3386488301,12
137.247,7429,665624,685196,3334192,73592,68,32193,3386489848,12
138.596,7429,666256,685196,3334192,73592,68,32459,3386491504,12
139.926,7429,680184,695664,3335472,73592,68,32755,3386493094,12
141.309,7429,628012,695664,3332368,73592,67,33027,3386494738,12
142.634,7429,628436,695664,3331312,73888,66,33283,3386496352,12
143.979,7429,640096,695664,3332368,73888,67,33543,3386497955,12
145.342,7429,622868,695664,3332880,73888,67,33750,3386499574,12
146.669,7429,634948,695664,3334416,73888,67,34118,3386501145,12
148.02,7429,630880,695664,3334416,73888,67,34397,3386502776,12
149.352,7429,635204,695664,3334416,73888,67,34678,3386504364,12
150.685,7429,639412,695664,3334416,73888,67,34939,3386505999,12
152.015,7429,650576,695664,3328272,73688,67,35333,3386507572,12
153.326,7429,657608,695664,3328272,73688,67,35612,3386509123,12
154.602,7429,663896,695664,3328272,73688,67,35959,3386510657,12
155.886,7429,656984,695664,3328272,73688,67,36313,3386512207,12
157.196,7429,677764,695664,3330320,73688,67,36490,3386513792,12
158.531,7429,689320,695664,3328816,73600,68,36888,3386515394,12
159.85,7429,652016,695664,3331376,73588,68,37380,3386516951,12
161.143,7429,662508,695664,3333424,73588,68,37831,3386518518,12
162.446,7429,675528,695664,3334448,73588,68,38015,3386520079,12
163.765,7429,622184,695664,3328304,73588,68,38150,3386521678,12
165.109,7429,304248,695664,3306640,73588,47,38243,3386523288,12
165.458,7429,304248,695664,3306640,73588,47,38243,3386523741,12
166.803,7429,304248,695664,3306640,73588,47,38243,3386525346,12
168.14,7429,304248,695664,3306640,73588,47,38243,3386526969,12
169.496,7429,304248,695664,3306640,73588,47,38243,3386528564,12
