elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.145,7304,41968,41972,1861168,92800,22,31,3386204149,12
1.45,7304,203976,203976,2793648,84624,72,196,3386205662,12
2.731,7304,476372,476560,3167920,84520,72,406,3386207216,12
4.009,7304,495368,501840,3192240,84448,72,615,3386208733,12
5.329,7304,511236,511236,3197616,84400,72,867,3386210363,12
6.665,7304,533744,533744,3237040,84344,72,1063,3386211931,12
7.993,7304,518240,533848,3243184,84336,72,1406,3386213525,12
9.295,7304,523032,533848,3235248,82868,72,1672,3386215098,12
10.631,7304,518508,533848,3235248,82864,72,1965,3386216724,12
11.96,7304,525968,533848,3235248,82860,72,2287,3386218293,12
13.292,7304,523180,533848,3229104,82812,72,2575,3386219888,12
14.58,7304,517184,533848,3221136,82788,71,2919,3386221472,12
15.902,7304,515800,533848,3221136,82788,71,3297,3386223021,12
17.189,7304,520956,533848,3221104,82780,70,3619,3386224568,12
18.493,7304,569668,574080,3231600,82764,70,3963,3386226167,12
19.826,7304,586340,592208,3230544,82764,69,4298,3386227724,12
21.159,7304,588968,592208,3231056,82752,69,4643,3386229374,12
22.486,7304,596324,600152,3233360,82752,69,5064,3386230919,12
23.778,7304,596620,600152,3233616,82752,69,5353,3386232511,12
25.119,7304,607936,611620,3234128,82752,69,5618,3386234080,12
26.432,7304,604444,611620,3233360,79132,69,5916,3386235697,12
27.764,7304,568224,615708,3233360,79132,69,6296,3386237293,12
29.09,7304,577436,615708,3234928,79132,70,6641,3386238835,12
30.392,7304,575880,615708,3235408,79132,69,6915,3386240403,12
31.688,7304,582620,615708,3236464,79132,70,7231,3386241997,12
33.018,7304,585284,615708,3237520,79132,71,7622,3386243560,12
34.342,7304,596352,615708,3238288,79132,71,7960,3386245147,12
35.625,7304,599044,615708,3238544,74248,71,8394,3386246700,12
36.95,7304,608112,619540,3242128,74248,71,8737,3386248262,12
38.221,7304,608384,619540,3242896,74248,71,9136,3386249820,12
39.528,7304,614864,622732,3242896,74248,71,9442,3386251379,12
40.828,7304,612624,622732,3242896,74248,71,9836,3386252936,12
42.131,7304,620412,634544,3243632,73608,70,10137,3386254509,12
43.482,7304,623600,634544,3244688,73608,71,10520,3386256152,12
44.806,7304,592424,634544,3241328,73592,70,10882,3386257687,12
46.121,7304,590172,634544,3240272,73592,69,11239,3386259295,12
47.435,7304,596676,634544,3239728,73588,68,11497,3386260857,12
48.759,7304,600312,634544,3239728,73588,68,11766,3386262496,12
50.129,7304,608356,634544,3240784,73588,69,12084,3386264139,12
51.482,7304,605116,634544,3240784,73588,69,12349,3386265706,12
52.765,7304,617440,634544,3241808,73588,69,12788,3386267245,12
54.032,7304,625808,634544,3241808,73588,69,13085,3386268763,12
55.283,7304,624924,634544,3241808,73588,69,13458,3386270277,12
56.588,7304,631640,637572,3283280,73588,69,13679,3386271869,12
57.928,7304,626172,637572,3283280,73588,69,14062,3386273509,12
59.275,7304,642600,648224,3283280,73588,69,14373,3386275074,12
60.577,7304,633584,648224,3281232,73588,69,14778,3386276659,12
61.899,7304,603632,648224,3281744,73588,69,15033,3386278225,12
63.209,7304,604148,648224,3281744,73588,69,15411,3386279849,12
64.552,7304,608288,648224,3281744,73588,69,15725,3386281400,12
65.866,7304,604764,648224,3280688,73588,68,16063,3386282994,12
67.175,7304,621428,648224,3282256,73588,69,16460,3386284543,12
68.502,7304,628388,648224,3282256,73588,69,16807,3386286137,12
69.783,7304,621036,648224,3282256,73588,69,17154,3386287688,12
71.1,7304,620920,648224,3282256,73588,69,17529,3386289266,12
72.375,7304,636172,648224,3286584,73588,71,17895,3386290766,12
73.64,7304,639796,648224,3286672,73588,71,18264,3386292298,12
74.956,7304,624668,652072,3285680,73588,72,18643,3386293878,12
76.249,7304,596024,652072,3285680,73588,72,18965,3386295489,12
77.637,7304,597132,652072,3285680,73588,72,19341,3386297101,12
78.937,7304,611812,652072,3286872,73588,72,19613,3386298665,12
80.239,7304,613712,652072,3286704,73588,72,19996,3386300227,12
81.557,7304,619808,652072,3286704,73588,72,20281,3386301828,12
82.903,7304,619120,652072,3286704,73588,72,20595,3386303476,12
84.265,7304,623636,652072,3286160,73588,71,20886,3386305060,12
85.543,7304,636148,652072,3285616,73588,70,21307,3386306595,12
86.839,7304,646548,654924,3285616,73588,70,21559,3386308141,12
88.129,7304,649368,654924,3285616,73584,70,21904,3386309718,12
89.444,7304,633836,654936,3282512,73584,69,22146,3386311279,12
90.761,7304,603760,654936,3282512,73584,69,22449,3386312864,12
92.094,7304,490128,654936,3283024,73572,69,22779,3386314484,12
92.459,7304,284396,654936,3261104,73572,48,22793,3386314925,12
93.771,7304,284396,654936,3261104,73572,48,22793,3386316517,12
95.119,7304,284396,654936,3261104,73572,48,22793,3386318127,12
96.449,7304,284396,654936,3261104,73572,48,22793,3386319719,12
