elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.182,12908,56604,56604,1866996,90180,26,32,3386721536,12
1.456,12908,243872,243872,2799760,84628,71,200,3386723053,12
2.729,12908,476620,478020,3171984,84532,71,401,3386724612,12
4.012,12908,494076,499740,3175824,84456,71,622,3386726146,12
5.347,12908,493296,499740,3179664,84408,71,849,3386727791,12
6.671,12908,511056,511336,3183248,84376,71,1133,3386729386,12
8.046,12908,513632,513708,3188624,84344,71,1368,3386730992,12
9.348,12908,538796,538796,3194000,84332,71,1672,3386732539,12
10.673,12908,528056,541904,3184528,82872,71,1963,3386734143,12
12.0,12908,540092,545220,3184528,82860,71,2162,3386735724,12
13.34,12908,528900,545220,3178128,82828,71,2463,3386737332,12
14.63,12908,542680,545220,3173488,82828,70,2779,3386738879,12
15.96,12908,543140,546284,3177008,82780,68,2992,3386740510,12
17.288,12908,546036,560976,3179344,82772,69,3337,3386742073,12
18.633,12908,559804,560976,3188560,82772,69,3619,3386743735,12
19.982,12908,566900,569960,3202096,82772,68,3963,3386745320,12
21.343,12908,562368,569960,3202352,82772,68,4224,3386746939,12
22.631,12908,564072,573612,3251760,82772,68,4614,3386748482,12
23.967,12908,569076,573612,3252016,82772,68,4906,3386750081,12
25.245,12908,577972,578408,3255344,82768,68,5287,3386751660,12
26.566,12908,622320,629480,3255600,82768,68,5612,3386753224,12
27.898,12908,619688,629480,3255856,82768,68,6026,3386754819,12
29.22,12908,628424,634076,3256112,82768,68,6358,3386756388,12
30.509,12908,620724,634076,3256368,82768,68,6735,3386757946,12
31.806,12908,601100,634076,3269680,79140,68,7089,3386759502,12
33.122,12908,592904,634076,3271216,79140,68,7412,3386761083,12
34.435,12908,602560,634076,3271216,79140,68,7794,3386762642,12
35.756,12908,593264,634076,3271216,79140,68,8067,3386764258,12
37.083,12908,602972,634076,3271472,79140,68,8388,3386765822,12
38.408,12908,596768,634076,3271472,79140,68,8721,3386767454,12
39.765,12908,603004,634076,3271472,79140,68,9078,3386769051,12
41.091,12908,601620,634076,3271472,79140,68,9384,3386770652,12
42.442,12908,604308,634076,3270416,79140,67,9658,3386772254,12
43.733,12908,601852,634076,3271696,79128,67,9899,3386773841,12
45.078,12908,617744,634076,3273264,79128,68,10281,3386775440,12
46.433,12908,608720,634076,3273264,79128,68,10434,3386777043,12
47.728,12908,614996,634076,3272208,79128,67,10810,3386778594,12
49.04,12908,625292,634076,3272464,79128,67,11058,3386780208,12
50.423,12908,615196,634076,3273776,79128,68,11364,3386781844,12
51.738,12908,634272,634272,3273776,79128,68,11671,3386783442,12
53.072,12908,593840,635872,3273552,79124,69,11996,3386785042,12
54.393,12908,602548,635872,3273552,79124,69,12340,3386786609,12
55.687,12908,597520,635872,3273552,79124,69,12641,3386788151,12
56.968,12908,601980,635872,3273552,79124,69,12962,3386789698,12
58.291,12908,599068,635872,3272496,79124,68,13249,3386791285,12
59.612,12908,599040,635872,3273552,79124,69,13577,3386792873,12
60.934,12908,599400,635872,3272528,79124,69,13802,3386794448,12
62.216,12908,607340,635872,3273040,79124,69,14112,3386796007,12
63.557,12908,605096,635872,3273808,79124,69,14413,3386797634,12
64.9,12908,612924,635872,3273808,79124,69,14741,3386799277,12
66.285,12908,610020,635872,3272752,79124,68,14998,3386800895,12
67.621,12908,611820,635872,3271696,79124,67,15297,3386802506,12
68.969,12908,613116,635872,3271696,79120,67,15572,3386804101,12
70.319,12908,613884,635872,3271696,79120,67,15842,3386805747,12
71.669,12908,626664,635872,3272752,79120,68,16105,3386807361,12
73.034,12908,615272,635872,3271696,79120,67,16358,3386809006,12
74.401,12908,627388,635872,3272752,79120,68,16605,3386810660,12
75.761,12908,618904,635872,3272752,79120,68,16832,3386812275,12
77.091,12908,619472,635872,3272752,79120,68,17168,3386813848,12
78.431,12908,619120,635872,3272752,79120,68,17422,3386815479,12
79.76,12908,614584,635872,3272784,79120,69,17781,3386817037,12
81.104,12908,593052,635872,3273552,79120,69,18118,3386818693,12
82.482,12908,593472,635872,3273808,79120,69,18390,3386820338,12
83.844,12908,598448,635872,3273808,79120,69,18648,3386821934,12
85.169,12908,598668,635872,3273808,79120,69,18960,3386823535,12
86.49,12908,606900,635872,3273808,79120,69,19227,3386825110,12
87.788,12908,601312,635872,3274064,79120,69,19629,3386826681,12
89.114,12908,611280,635872,3274064,79120,69,19930,3386828259,12
90.397,12908,607336,635872,3274064,79120,69,20308,3386829811,12
91.716,12908,625984,635872,3278160,79120,69,20577,3386831399,12
93.014,12908,613756,635872,3278160,79120,69,20969,3386832977,12
94.336,12908,626452,635872,3277104,79120,68,21285,3386834523,12
95.633,12908,618244,635872,3277104,79120,68,21544,3386836132,12
96.972,12908,621596,635872,3277104,79120,68,21872,3386837721,12
98.298,12908,620788,635872,3277104,79120,68,22214,3386839298,12
99.604,12908,620800,635872,3277104,79120,68,22577,3386840853,12
100.931,12908,626976,635872,3277616,79120,68,22820,3386842433,12
102.207,12908,625656,637376,3277616,79120,68,23164,3386843973,12
103.551,12908,629352,637376,3277584,79120,67,23432,3386845605,12
104.86,12908,630404,641296,3277648,79120,69,23815,3386847157,12
106.189,12908,594476,641296,3277648,79120,69,24104,3386848801,12
107.549,12908,600672,641296,3277904,79120,69,24459,3386850417,12
108.893,12908,600616,641296,3277904,78492,69,24723,3386851990,12
110.214,12908,609588,641296,3278672,78492,69,24983,3386853607,12
111.554,12908,619032,641296,3279184,78492,69,25264,3386855223,12
112.888,12908,611128,641296,3279184,78492,69,25616,3386856843,12
114.221,12908,617192,641296,3279184,78492,69,25895,3386858390,12
115.534,12908,612492,641296,3279184,78492,69,26228,3386860007,12
116.85,12908,626268,641296,3279696,78492,69,26538,3386861550,12
118.197,12908,616952,641296,3278640,78492,68,26805,3386863155,12
119.484,12908,628900,641296,3278640,78492,68,27136,3386864713,12
120.814,12908,616380,641296,3273488,78492,67,27451,3386866333,12
122.122,12908,623520,641296,3274544,78492,68,27779,3386867872,12
123.44,12908,627004,641296,3275056,78492,68,28153,3386869501,12
124.774,12908,627252,641296,3274064,78492,69,28496,3386871071,12
126.13,12908,602592,641296,3274064,78492,69,28831,3386872732,12
127.487,12908,609808,641296,3274064,73608,69,29128,3386874339,12
128.841,12908,607928,641296,3274064,73608,69,29372,3386875964,12
130.158,12908,610236,641296,3274576,73608,69,29724,3386877571,12
131.487,12908,621720,641296,3274576,73608,69,29997,3386879134,12
132.849,12908,613528,641296,3274576,73608,69,30202,3386880776,12
134.169,12908,621032,641296,3274576,73608,69,30484,3386882328,12
135.486,12908,618040,641296,3274576,73608,69,30755,3386883936,12
136.821,12908,624240,641296,3274576,73608,69,31070,3386885509,12
138.155,12908,621192,641296,3274576,73608,69,31386,3386887117,12
139.477,12908,631588,641296,3274032,73608,68,31652,3386888728,12
140.836,12908,624148,641296,3274032,73608,68,31910,3386890342,12
142.173,12908,635140,641296,3274032,73608,68,32184,3386891975,12
143.504,12908,627264,641296,3274032,73608,68,32426,3386893549,12
144.833,12908,630104,641296,3274032,73608,68,32699,3386895137,12
146.171,12908,627944,641296,3274032,73608,68,32980,3386896717,12
147.481,12908,630656,641296,3274288,73608,68,33285,3386898319,12
148.793,12908,628564,641296,3273232,73608,67,33547,3386899880,12
150.097,12908,625408,641880,3274320,73608,69,33815,3386901435,12
151.384,12908,606360,641880,3274320,73608,69,34104,3386902985,12
152.687,12908,606660,641880,3274320,73608,69,34445,3386904561,12
153.975,12908,611204,641880,3274320,73608,69,34727,3386906103,12
155.264,12908,610028,641880,3274320,73608,69,35137,3386907655,12
156.563,12908,619528,641880,3274320,73608,69,35428,3386909227,12
157.876,12908,621084,641880,3275088,73604,69,35803,3386910781,12
159.187,12908,634476,641880,3275088,73604,69,36125,3386912365,12
160.49,12908,622392,641880,3275600,73604,69,36391,3386913935,12
161.807,12908,466264,641880,3266096,73604,60,36712,3386915511,12
162.149,12908,282936,641880,3253424,73604,48,36712,3386915918,12
163.449,12908,245428,641880,3252368,73604,47,36714,3386917503,12
