elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.131,55276,68076,68076,1865384,76708,25,36,138099239,12
1.407,55276,362984,363980,2474692,74916,50,454,138100797,12
2.737,55276,372876,372876,2481092,74808,50,1209,138102396,12
4.066,55276,377304,377304,2484676,74748,50,1936,138103979,12
5.366,55276,388984,388984,2493380,74700,50,2664,138105544,12
6.718,55276,393240,393412,2496964,74692,50,3422,138107168,12
8.067,55276,406592,406592,2508228,74636,50,4077,138108816,12
8.456,55276,406592,406592,2508228,74636,50,4077,138109288,12
9.803,55276,406592,406592,2508228,74636,50,4077,138110892,12
11.138,55276,406596,406596,2508228,74632,50,4077,138112491,12
12.462,55276,406596,406596,2508228,74632,50,4077,138114087,12
