elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.129,57314,73744,73744,1865384,76036,25,36,138202994,12
1.423,57314,361700,363116,2473380,74944,49,438,138204560,12
2.714,57314,371032,371032,2479012,74824,49,1104,138206120,12
4.023,57314,370060,371244,2479524,74808,49,1192,138207729,12
5.407,57314,370044,371244,2480036,74804,49,1310,138209386,12
6.755,57314,371336,371336,2480292,74796,49,1521,138211007,12
8.151,57314,371580,372396,2480804,74788,49,1646,138212679,12
9.534,57314,373108,373108,2481316,74784,49,1775,138214334,12
10.89,57314,375764,375764,2481996,74772,49,1978,138215976,12
12.28,57314,380988,380988,2482340,69896,49,2105,138217640,12
13.644,57314,381444,381444,2482852,69880,49,2294,138219232,12
14.978,57314,382844,382844,2480996,69876,47,2475,138220818,12
16.3,57314,388032,388032,2484548,69860,46,2636,138222458,12
16.677,57314,388032,388032,2484548,69860,46,2636,138222929,12
18.044,57314,380356,388032,2483492,69860,45,2638,138224546,12
19.376,57314,377612,388032,2482436,69860,44,2639,138226140,12
20.706,57314,377560,388032,2481380,69860,43,2640,138227739,12
