elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.125,59496,65352,65352,1870964,78100,25,23,138330344,12
1.374,59496,363252,363252,2455492,74940,50,417,138331881,12
2.66,59496,372884,372884,2494916,74812,50,1126,138333416,12
3.959,59496,377468,377468,2497988,74772,50,1874,138334970,12
5.269,59496,386592,386592,2505412,74720,50,2603,138336570,12
6.617,59496,393716,394036,2512324,74692,50,3059,138338182,12
7.922,59496,397472,397472,2513860,74652,50,3477,138339740,12
9.227,59496,400520,400520,2516676,74636,50,4211,138341335,12
10.568,59496,403428,414252,2513516,73064,50,4927,138342917,12
11.863,59496,409712,414252,2513388,68176,50,5686,138344486,12
13.201,59496,410664,414252,2513388,68172,50,6409,138346091,12
14.517,59496,412188,414252,2511236,68172,48,6603,138347663,12
14.859,59496,412388,414252,2511236,68172,48,6604,138348087,12
16.151,59496,407828,414252,2509124,68172,46,6605,138349621,12
17.469,59496,401640,414252,2508068,68172,45,6605,138351241,12
18.783,59496,401640,414252,2508068,68172,45,6605,138352785,12
