elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.131,55767,68516,68516,1870472,76716,24,35,138119840,12
1.433,55767,174324,174324,2443940,74964,49,103,138121406,12
2.738,55767,354008,355748,2472868,74948,49,258,138122956,12
4.02,55767,362868,363692,2473380,74912,49,407,138124544,12
5.4,55767,363056,364136,2473892,74888,49,526,138126204,12
6.742,55767,364676,364676,2474148,74888,49,748,138127785,12
8.088,55767,365832,365832,2474660,74888,49,867,138129434,12
9.475,55767,365792,366612,2475172,74884,49,984,138131085,12
10.819,55767,367876,367876,2475468,74872,49,1217,138132663,12
12.164,55767,372404,373596,2476452,69988,49,1330,138134317,12
13.516,55767,379744,379744,2479780,69900,49,1471,138135943,12
14.906,55767,380308,380316,2478180,69896,47,1590,138137607,12
16.28,55767,379576,381252,2475524,69888,44,1723,138139228,12
17.623,55767,383180,383452,2477092,69868,45,1899,138140874,12
17.995,55767,383180,383452,2477092,69868,45,1899,138141313,12
19.326,55767,376504,383452,2474980,69868,43,1901,138142926,12
20.69,55767,376504,383452,2474980,69868,43,1901,138144550,12
22.02,55767,376504,383452,2474980,69868,43,1901,138146147,12
