elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.141,64268,77076,77076,1872072,75592,26,27,138700732,12
1.415,64268,265904,265904,2663360,74980,50,175,138702253,12
2.687,64268,465076,465076,2697920,74840,50,654,138703774,12
3.956,64268,466580,466580,2699712,74792,50,716,138705329,12
5.276,64268,467844,468176,2700224,74784,50,886,138706944,12
6.646,64268,469092,469092,2700736,74784,50,996,138708598,12
8.012,64268,469768,470112,2701248,74760,50,1139,138710196,12
9.318,64268,474484,474892,2703808,74720,50,1550,138711790,12
10.674,64268,479832,479832,2706624,74692,50,1954,138713376,12
11.956,64268,484716,484900,2707136,69800,50,2117,138714949,12
13.325,64268,485948,485948,2707648,69792,50,2253,138716612,12
14.709,64268,486276,486488,2706048,69792,48,2405,138718225,12
16.042,64268,486176,486864,2704448,69792,46,2560,138719850,12
17.421,64268,488032,488768,2705728,69756,46,2760,138721532,12
17.807,64268,488032,488768,2705728,69756,46,2760,138721975,12
19.14,64268,483948,488768,2707552,68252,47,2763,138723580,12
20.486,64268,483944,488768,2706496,68252,46,2764,138725207,12
21.827,64268,483944,488768,2706496,68252,46,2764,138726815,12
