elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.134,58922,70188,70188,1871016,76724,25,34,138292643,12
1.444,58922,364092,364508,2473124,74940,49,452,138294227,12
2.744,58922,375188,375188,2483364,74808,49,823,138295779,12
4.026,58922,339852,379128,2487460,74756,49,1207,138297331,12
5.342,58922,392776,393068,2522276,74708,49,1606,138298901,12
6.666,58922,203556,395912,2497700,74704,25,1705,138300537,12
7.048,58922,203556,395912,2497700,74704,25,1705,138300980,12
8.383,58922,203664,395912,2497700,74704,25,1705,138302581,12
9.725,58922,203664,395912,2497700,74704,25,1705,138304183,12
11.053,58922,203668,395912,2497700,74700,25,1705,138305803,12
