elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.134,59085,68188,68188,1869960,76728,24,35,138311604,12
1.459,59085,363872,363872,2473380,74904,49,465,138313208,12
2.796,59085,370580,370580,2478500,74788,49,1125,138314792,12
4.092,59085,376660,377188,2483620,74728,49,1775,138316358,12
5.407,59085,385316,385316,2489764,74680,49,2514,138317976,12
6.761,59085,390528,390528,2493860,74680,49,2766,138319611,12
7.15,59085,390532,390532,2493860,74680,49,2766,138320063,12
8.497,59085,390584,390584,2493860,74680,49,2766,138321691,12
9.846,59085,390584,390584,2493860,74680,49,2766,138323299,12
11.173,59085,390624,390624,2493860,74672,49,2766,138324911,12
