elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.133,60833,68580,68580,1869960,76728,24,25,138458394,12
1.387,60833,169920,207084,2652576,75160,49,166,138459904,12
2.66,60833,446384,446572,2707360,74892,49,348,138461450,12
3.958,60833,454472,454472,2707872,74864,49,437,138463014,12
5.31,60833,435848,455104,2708640,74832,49,565,138464648,12
6.61,60833,438244,455104,2709152,74832,49,777,138466223,12
7.995,60833,438900,455104,2709664,74832,49,889,138467892,12
9.365,60833,439932,455104,2710432,74828,49,1023,138469519,12
10.696,60833,442796,455104,2711112,74812,49,1224,138471112,12
12.053,60833,447384,455104,2711968,69932,49,1348,138472772,12
13.449,60833,449040,455104,2712736,69916,49,1491,138474391,12
14.741,60833,466212,466212,2711136,69892,47,1699,138475949,12
16.068,60833,471428,471656,2714176,69824,46,1818,138477578,12
17.409,60833,472808,473332,2713632,69816,45,2031,138479153,12
18.754,60833,473848,474056,2713088,69808,44,2159,138480808,12
20.146,60833,473316,474724,2712800,69808,43,2288,138482457,12
21.472,60833,479572,479572,2715816,68252,44,2499,138484044,12
22.835,60833,479460,480116,2715648,68248,44,2623,138485718,12
24.228,60833,480376,480472,2715648,68240,44,2775,138487336,12
25.554,60833,480752,480804,2715648,68236,44,2970,138488982,12
26.944,60833,481316,481428,2715648,68228,44,3088,138490641,12
28.317,60833,480980,481484,2715648,68228,44,3306,138492219,12
29.645,60833,520352,520780,2978848,68204,45,3423,138493862,12
30.024,60833,520352,520780,2978848,68204,45,3423,138494327,12
31.335,60833,516692,520780,2978848,68204,45,3424,138495914,12
32.696,60833,516692,520780,2978848,68204,45,3425,138497515,12
34.023,60833,516692,520780,2978848,68204,45,3425,138499127,12
35.364,60833,516748,520780,2978848,68200,45,3425,138500729,12
36.69,60833,510964,520780,2977792,68200,44,3425,138502326,12
38.028,60833,510964,520780,2977792,68200,44,3425,138503926,12
39.363,60833,510964,520780,2977792,68200,44,3425,138505525,12
40.701,60833,510892,520780,2976736,68200,43,3425,138507132,12
42.032,60833,510892,520780,2976736,68200,43,3426,138508740,12
43.367,60833,510892,520780,2976736,68200,43,3426,138510348,12
44.722,60833,502060,520780,2963456,63716,44,3442,138511980,12
46.078,60833,500460,520780,2962400,63712,43,3445,138513594,12
47.418,60833,500460,520780,2962400,63712,43,3445,138515183,12
48.742,60833,493264,520780,2961344,63712,42,3446,138516782,12
50.096,60833,493264,520780,2961344,63712,42,3446,138518417,12
51.451,60833,493264,520780,2961344,63712,42,3446,138520039,12
52.784,60833,493264,520780,2961344,63712,42,3446,138521623,12
54.116,60833,493264,520780,2961344,63712,42,3446,138523242,12
55.464,60833,493264,520780,2961344,63712,42,3446,138524857,12
56.805,60833,493264,520780,2961344,63712,42,3446,138526433,12
58.108,60833,493312,520780,2962400,63712,43,3446,138528045,12
59.459,60833,493264,520780,2961344,63712,42,3447,138529653,12
60.8,60833,493264,520780,2961344,63712,42,3447,138531278,12
62.156,60833,493264,520780,2961344,63712,42,3447,138532879,12
63.488,60833,493164,520780,2960288,63712,41,3447,138534492,12
64.83,60833,493164,520780,2960288,63712,41,3447,138536095,12
66.159,60833,493164,520780,2960288,63712,41,3447,138537688,12
67.514,60833,493164,520780,2960288,63712,41,3447,138539306,12
68.834,60833,493164,520780,2960288,63712,41,3447,138540900,12
70.18,60833,493164,520780,2960288,63712,41,3447,138542496,12
71.496,60833,493164,520780,2960288,63712,41,3447,138544093,12
72.846,60833,493164,520780,2960288,63712,41,3447,138545719,12
74.198,60833,493128,520780,2959232,63712,40,3447,138547338,12
75.555,60833,493128,520780,2959232,63712,40,3447,138548957,12
76.891,60833,493128,520780,2959232,63712,40,3447,138550566,12
78.213,60833,493128,520780,2959232,63712,40,3447,138552152,12
79.54,60833,493128,520780,2959232,63712,40,3447,138553744,12
80.874,60833,493128,520780,2959232,63712,40,3447,138555329,12
82.201,60833,493136,520780,2960288,63712,41,3447,138556926,12
83.52,60833,493136,520780,2960288,63712,41,3447,138558522,12
84.846,60833,493136,520780,2960288,63712,41,3447,138560113,12
86.187,60833,493136,520780,2960288,63712,41,3447,138561731,12
87.52,60833,493136,520780,2960288,63712,41,3447,138563333,12
88.862,60833,493136,520780,2960288,63712,41,3447,138564931,12
