elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.137,63073,71196,71196,1869960,76720,24,26,138649716,12
1.384,63073,264260,267104,2681248,75136,49,169,138651214,12
2.67,63073,462852,464756,2684320,74812,49,652,138652782,12
3.969,63073,466340,466340,2684832,74808,49,740,138654359,12
5.327,63073,466764,467172,2685600,74800,49,860,138655984,12
6.668,63073,468200,468252,2686112,74784,49,1054,138657622,12
8.024,63073,473780,473780,2689696,74732,49,1566,138659236,12
9.401,63073,478700,478700,2692000,74708,49,1873,138660879,12
10.728,63073,478568,478740,2692552,74700,49,2070,138662483,12
12.083,63073,485164,485164,2693280,69812,49,2190,138664108,12
13.446,63073,486960,486960,2693792,69812,49,2428,138665714,12
14.753,63073,482876,486968,2692960,69788,47,2492,138667327,12
15.138,63073,477536,486968,2690848,69788,45,2493,138667773,12
16.459,63073,477300,486968,2690848,69788,45,2493,138669368,12
17.794,63073,477288,486968,2689792,69788,44,2493,138670957,12
19.116,63073,477300,486968,2688736,69784,43,2493,138672562,12
