elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.129,60270,67720,67720,1864328,76672,24,25,138369712,12
1.386,60270,222016,236616,2420032,75012,46,162,138371216,12
2.666,60270,468316,468316,2684064,74756,49,730,138372755,12
3.94,60270,475332,475400,2689184,74688,49,1360,138374302,12
5.234,60270,483888,483888,2727584,74640,49,2003,138375850,12
6.51,60270,488272,490192,2732448,74604,49,2461,138377389,12
7.833,60270,498968,498968,2738080,74580,49,3141,138378986,12
9.198,60270,499560,500820,2739360,74548,49,3280,138380652,12
9.571,60270,499560,500820,2739360,74548,49,3280,138381098,12
10.91,60270,499564,500820,2739360,74544,49,3280,138382716,12
12.254,60270,499568,500820,2739360,74544,49,3280,138384318,12
13.571,60270,499612,500820,2739360,74540,49,3280,138385885,12
