elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.135,54623,69856,69856,1864840,76660,24,26,340735560,12
1.392,54623,219844,219844,2398016,75020,46,165,340737063,12
2.659,54623,468160,468804,2695328,74716,49,741,340738586,12
3.917,54623,475776,475856,2700960,74624,49,1248,340740089,12
5.201,54623,483164,483540,2707872,74564,49,1729,340741641,12
6.489,54623,491832,491832,2713760,74524,49,2204,340743195,12
7.781,54623,498512,498512,2718624,74516,49,2686,340744740,12
9.063,54623,496184,506788,2711712,73040,49,3248,340746277,12
10.347,54623,497500,506788,2711712,73036,49,3751,340747829,12
11.638,54623,495292,506788,2706080,73024,49,4214,340749369,12
12.947,54623,498152,506788,2706080,68140,49,4371,340750990,12
13.323,54623,498152,506788,2706080,68140,49,4371,340751423,12
14.623,54623,493528,506788,2703968,68136,47,4371,340753011,12
15.968,54623,493420,506788,2701856,68132,45,4372,340754607,12
17.289,54623,492424,506788,2701856,68132,45,4373,340756183,12
