elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.156,58079,67588,67588,1870996,76988,25,26,341010910,12
1.444,58079,115912,115912,1960196,75128,36,168,341012463,12
2.877,58079,86044,115924,1960196,102988,36,237,341634455,12
4.226,58079,86044,115924,1960196,102988,36,237,341636046,12
5.563,58079,86044,115924,1960196,102988,36,237,341637688,12
6.932,58079,86044,115924,1960196,102988,36,237,341639330,12
8.33,58079,86044,115924,1960196,102988,36,237,341641012,12
9.717,58079,86044,115924,1960196,102988,36,237,341642669,12
11.081,58079,86044,115924,1960196,102988,36,237,341644303,12
12.444,58079,86044,115924,1960196,102988,36,237,341645955,12
13.828,58079,86044,115924,1960196,102988,36,237,341647596,12
15.184,58079,86044,115924,1960196,102988,36,237,341649235,12
16.585,58079,86044,115924,1960196,102988,36,237,341650936,12
18.015,58079,86044,115924,1960196,102988,36,237,341652641,12
19.411,58079,86044,115924,1960196,102988,36,237,341654280,12
20.728,58079,86044,115924,1960196,102988,36,237,341655872,12
22.085,58079,86044,115924,1960196,102988,36,237,341657529,12
23.473,58079,86044,115924,1960196,102988,36,237,341659224,12
24.875,58079,86044,115924,1960196,102988,36,237,341660855,12
26.234,58079,86044,115924,1960196,102988,36,237,341662492,12
27.6,58079,86044,115924,1960196,102988,36,237,341664128,12
28.957,58079,86044,115924,1960196,102988,36,237,341665742,12
30.303,58079,86044,115924,1960196,102988,36,237,341667378,12
31.685,58079,86044,115924,1960196,102988,36,237,341669018,12
33.037,58079,86044,115924,1960196,102988,36,237,341670645,12
34.413,58079,86044,115924,1960196,102988,36,237,341672317,12
35.796,58079,86044,115924,1960196,102988,36,237,341673955,12
37.171,58079,86044,115924,1960196,102988,36,237,341675606,12
38.52,58079,86044,115924,1960196,102988,36,237,341677236,12
39.905,58079,86044,115924,1960196,102988,36,237,341678898,12
41.296,58079,86044,115924,1960196,102988,36,237,341680568,12
42.676,58079,86044,115924,1960196,102988,36,237,341682225,12
44.056,58079,86044,115924,1960196,102988,36,237,341683881,12
45.431,58079,86044,115924,1960196,102988,36,237,341685527,12
