elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.129,52963,65728,65728,1870964,78924,25,25,340623213,12
1.392,52963,368544,368544,2490052,74860,50,384,340624764,12
2.691,52963,383928,383928,2501060,74628,50,1031,340626302,12
3.956,52963,391016,391016,2506948,74592,50,1623,340627817,12
5.208,52963,397136,397136,2512324,74584,50,2161,340629329,12
6.493,52963,405348,405348,2518468,74576,50,2675,340630883,12
7.779,52963,411208,411208,2523844,74556,50,3212,340632422,12
9.07,52963,400764,415004,2509508,73060,50,3777,340633967,12
10.362,52963,400200,415004,2509764,73056,50,4359,340635532,12
11.67,52963,394664,415004,2500548,73056,50,4946,340637093,12
12.962,52963,393740,415004,2499012,73036,50,5507,340638636,12
14.24,52963,391168,415004,2495108,73032,48,6045,340640173,12
15.534,52963,392748,415004,2494820,73020,47,6579,340641723,12
16.813,52963,397084,415004,2507876,72980,47,7131,340643260,12
18.087,52963,400552,415004,2510436,72980,47,7659,340644791,12
19.378,52963,403956,415004,2510404,72976,46,8215,340646341,12
20.693,52963,402268,415004,2510660,72976,46,8554,340647938,12
21.038,52963,402268,415004,2510660,72976,46,8554,340648381,12
22.374,52963,402268,415004,2510660,72976,46,8554,340649968,12
23.694,52963,402268,415004,2510660,72976,46,8554,340651548,12
25.018,52963,402268,415004,2510660,72976,46,8555,340653156,12
