elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.136,62108,73588,73592,1872072,76620,26,38,363232744,12
1.459,62108,369048,369116,2487492,74832,50,428,363234329,12
2.741,62108,375824,377472,2493636,74724,50,961,363235869,12
4.018,62108,384176,385388,2500036,74636,50,1521,363237385,12
5.301,62108,391212,392540,2505412,74596,50,1985,363238941,12
6.622,62108,392444,392540,2507204,74596,50,2157,363240581,12
7.012,62108,392444,392540,2507204,74596,50,2157,363241021,12
8.291,62108,392496,392540,2507204,74596,50,2157,363242526,12
9.577,62108,392496,392540,2507204,74596,50,2157,363244117,12
10.923,62108,392500,392540,2507204,74592,50,2157,363245721,12
