elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.123,52408,55104,55128,1866556,81460,22,24,340579270,12
1.407,52408,373856,374744,2472100,74852,49,383,340580821,12
2.682,52408,381876,382164,2492580,74676,49,1012,340582350,12
3.948,52408,387476,390192,2499492,74620,49,1622,340583857,12
5.212,52408,398008,399292,2506148,74584,49,2178,340585383,12
6.501,52408,411912,413104,2517156,74556,49,2735,340586926,12
7.788,52408,420064,420936,2524324,74540,49,3315,340588499,12
9.091,52408,409948,423336,2510756,73044,49,3898,340590049,12
10.378,52408,410912,423336,2511012,73040,49,4460,340591592,12
11.671,52408,405352,423336,2503844,73036,49,5057,340593139,12
12.976,52408,400072,423336,2501028,73036,49,5556,340594753,12
