elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.133,59504,68676,68676,1872196,76736,25,36,363102850,12
1.421,59504,370788,372148,2489320,74772,50,402,363104398,12
2.698,59504,376576,376576,2495976,74668,50,1003,363105919,12
3.979,59504,390932,390932,2505196,74584,50,1342,363107493,12
5.283,59504,391660,391660,2506740,74576,50,1542,363109021,12
6.59,59504,393372,393372,2508788,74568,50,1756,363110610,12
7.946,59504,394688,394688,2510588,74540,50,2003,363112232,12
9.263,59504,397024,397024,2512380,74528,50,2222,363113816,12
10.603,59504,392160,400044,2505728,73040,50,2474,363115444,12
11.97,59504,392532,400044,2505720,73036,50,2703,363117088,12
13.33,59504,393860,400044,2505720,73036,50,3007,363118725,12
13.691,59504,393860,400044,2505720,73036,50,3007,363119145,12
15.001,59504,387052,400044,2503608,73036,48,3008,363120749,12
16.353,59504,385808,400044,2500440,73036,45,3008,363122367,12
17.698,59504,385808,400044,2500440,73036,45,3008,363123986,12
