elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.129,63112,72536,72536,1865896,76540,25,37,363273538,12
1.402,63112,369768,370288,2477476,74780,49,408,363275084,12
2.691,63112,377264,377264,2483620,74676,49,1032,363276608,12
3.964,63112,384888,384888,2490020,74624,49,1627,363278143,12
5.257,63112,390624,390804,2494884,74616,49,2131,363279726,12
6.567,63112,396428,396852,2500260,74608,49,2624,363281278,12
7.878,63112,424460,424460,2524324,74584,49,3091,363282857,12
9.195,63112,414748,432636,2506916,73036,49,3688,363284432,12
10.499,63112,415292,432636,2507172,73032,49,4262,363285983,12
11.775,63112,416668,432636,2507428,73032,49,4797,363287529,12
13.075,63112,408732,432636,2498980,73032,49,5374,363289093,12
14.363,63112,407728,432636,2494052,73016,47,5917,363290641,12
15.672,63112,406500,432636,2490660,72972,45,6480,363292187,12
16.962,63112,409392,432636,2491972,72960,46,7015,363293758,12
18.29,63112,411892,432636,2526276,72952,46,7581,363295344,12
19.599,63112,414440,432636,2525188,72952,44,8113,363296907,12
20.876,63112,420696,432636,2526980,68992,44,8642,363298446,12
22.18,63112,422312,432636,2527236,68992,44,9182,363300012,12
23.477,63112,424848,432636,2528004,68992,44,9764,363301564,12
24.767,63112,425252,432636,2528516,68992,44,10302,363303107,12
26.053,63112,426236,432636,2528772,68992,44,10871,363304663,12
27.396,63112,427664,432636,2529284,68992,44,11110,363306297,12
27.761,63112,422832,432636,2528228,68992,43,11110,363306750,12
29.078,63112,422832,432636,2528228,68992,43,11110,363308321,12
30.397,63112,418600,432636,2527172,68992,42,11111,363309911,12
31.738,63112,416544,432636,2527172,68992,42,11112,363311538,12
