elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.131,58944,71272,71272,1869960,76728,24,35,363065330,12
1.43,58944,369204,369204,2475940,74820,49,438,363066900,12
2.718,58944,383788,383788,2486948,74612,49,1046,363068441,12
4.003,58944,391664,391664,2492836,74576,49,1633,363069954,12
5.278,58944,396428,396912,2497444,74568,49,2184,363071520,12
6.566,58944,405848,405848,2503588,74560,49,2721,363073049,12
7.872,58944,410824,410824,2508964,74536,49,3241,363074638,12
9.199,58944,399052,414716,2494372,73056,49,3812,363076227,12
10.508,58944,399972,414716,2494372,73052,49,4394,363077787,12
11.815,58944,393984,414716,2485924,73032,49,4979,363079361,12
13.123,58944,392232,414716,2484388,73028,49,5521,363080932,12
14.433,58944,390368,414716,2480484,72992,47,6079,363082502,12
15.74,58944,393624,414716,2480196,72992,46,6650,363084071,12
17.038,58944,398676,414716,2497092,72992,46,7205,363085633,12
18.343,58944,400912,414716,2498884,72992,46,7773,363087191,12
19.629,58944,407632,414716,2500612,72992,44,8308,363088741,12
20.919,58944,411540,414716,2502148,72992,44,8864,363090291,12
22.261,58944,408796,414716,2502916,72992,44,9129,363091932,12
22.639,58944,408796,414716,2502916,72992,44,9129,363092402,12
24.011,58944,408796,414716,2502916,72992,44,9129,363094041,12
25.343,58944,408796,414716,2502916,72992,44,9129,363095635,12
26.698,58944,408796,414716,2502916,72992,44,9129,363097267,12
