elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.133,58682,69928,69928,1865384,76672,25,37,363029337,12
1.429,58682,367872,367948,2476196,74836,49,430,363030898,12
2.736,58682,383536,383536,2487972,74604,49,1051,363032449,12
4.012,58682,391580,391580,2493860,74584,49,1650,363033977,12
5.28,58682,396912,396912,2498724,74572,49,2182,363035538,12
6.597,58682,406400,406400,2505380,74568,49,2696,363037078,12
7.857,58682,410208,410328,2509988,74548,49,3253,363038584,12
9.131,58682,399764,414764,2495140,73072,49,3795,363040136,12
10.426,58682,400704,414764,2495396,73068,49,4361,363041715,12
11.749,58682,395240,414764,2486692,73064,49,4920,363043278,12
13.064,58682,392808,414764,2485156,73044,49,5483,363044846,12
14.343,58682,391768,414764,2480996,72988,47,6018,363046394,12
15.652,58682,392684,414764,2480196,72968,46,6585,363047959,12
16.956,58682,395256,414764,2482244,72964,46,7158,363049548,12
18.278,58682,400196,414764,2484036,72964,46,7738,363051105,12
19.572,58682,404840,414764,2520164,72964,47,8275,363052659,12
20.92,58682,405512,414764,2518820,72960,45,8627,363054305,12
21.294,58682,405512,414764,2518820,72960,45,8627,363054774,12
22.648,58682,405512,414764,2518820,72960,45,8627,363056406,12
23.993,58682,405512,414764,2518820,72960,45,8627,363057982,12
25.306,58682,405512,414764,2518820,72960,45,8627,363059584,12
