elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.128,61620,67092,67092,1864328,76704,24,25,363201761,12
1.377,61620,212668,215408,2407360,74976,34,163,363203242,12
2.622,61620,463116,465320,2711200,74736,49,568,363204747,12
3.902,61620,472072,472492,2713504,74660,49,782,363206302,12
5.182,61620,471588,472740,2715040,74628,49,1020,363207810,12
6.461,61620,470532,472740,2716832,74608,49,1191,363209432,12
7.817,61620,474348,474348,2717856,74596,49,1531,363210979,12
9.103,61620,483864,485052,2722464,74548,49,1828,363212541,12
10.403,61620,487836,487836,2724680,73048,49,2222,363214098,12
11.728,61620,493844,495176,2724512,68144,49,2499,363215708,12
13.038,61620,494552,496600,2724516,68140,49,2774,363217271,12
14.353,61620,492600,496600,2722440,68140,47,2957,363218857,12
15.667,61620,494660,496600,2721344,68136,46,3273,363220423,12
17.008,61620,493596,496600,2719232,68136,44,3352,363222084,12
17.417,61620,493596,496600,2719232,68136,44,3352,363222531,12
18.729,61620,493596,496600,2719232,68136,44,3352,363224120,12
20.063,61620,491176,496600,2718176,68136,43,3353,363225733,12
21.384,61620,491176,496600,2718176,68136,43,3353,363227314,12
