elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.136,61538,77124,77124,1871272,75704,25,36,363181515,12
1.403,61538,369260,369260,2475428,74828,49,417,363183061,12
2.683,61538,379340,379340,2486436,74700,49,773,363184586,12
3.947,61538,192156,385448,2477284,74652,35,1287,363186099,12
5.238,61538,192400,393972,2479076,74616,35,1610,363187655,12
6.517,61538,407348,407348,2529444,74600,49,2033,363189195,12
7.859,61538,198000,408952,2505124,74588,25,2065,363190865,12
8.251,61538,198052,408952,2505124,74588,25,2065,363191312,12
9.572,61538,198052,408952,2505124,74588,25,2065,363192899,12
10.908,61538,198056,408952,2505124,74584,25,2065,363194498,12
12.23,61538,198056,408952,2505124,74584,25,2065,363196090,12
