elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.131,62888,70812,70812,1871016,76708,25,36,363251461,12
1.41,62888,368032,368976,2475172,74836,49,399,363253003,12
2.695,62888,376384,376384,2482340,74684,49,1037,363254526,12
3.967,62888,384076,384076,2488484,74620,49,1563,363256049,12
5.245,62888,390040,390408,2494116,74580,49,2116,363257590,12
6.548,62888,397848,397848,2499748,74568,49,2586,363259156,12
7.846,62888,404928,405804,2505892,74556,49,3139,363260720,12
9.183,62888,408140,409520,2508964,74540,49,3412,363262358,12
9.566,62888,408140,409520,2508964,74540,49,3412,363262835,12
10.891,62888,389848,411116,2493860,73072,49,3418,363264419,12
12.222,62888,389848,411116,2493860,73072,49,3418,363266028,12
13.585,62888,390020,411116,2493860,73072,49,3419,363267644,12
