elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.139,55709,76176,76176,1872584,75700,26,25,340853568,12
1.38,55709,172424,206188,2663360,75016,50,164,340855061,12
2.656,55709,430352,435924,2712768,74812,50,355,340856613,12
3.946,55709,442980,444440,2714816,74756,50,539,340858178,12
5.25,55709,446332,446772,2716864,74724,50,772,340859730,12
6.543,55709,450128,450128,2718656,74692,50,1029,340861260,12
7.822,55709,452744,452744,2720960,74656,50,1217,340862810,12
9.161,55709,454640,455292,2723264,74636,50,1441,340864405,12
10.481,55709,457804,457804,2725312,74596,50,1670,340866007,12
11.792,55709,479024,479024,2729152,73076,50,2027,340867632,12
13.175,55709,478344,479164,2729152,73056,50,2181,340869233,12
14.496,55709,468984,480136,2727040,73036,48,2408,340870852,12
15.852,55709,468884,480136,2725984,73024,47,2649,340872492,12
17.212,55709,471076,480136,2724928,73020,46,2898,340874110,12
18.589,55709,472084,480136,2724928,73016,46,3123,340875778,12
19.952,55709,470056,480136,2723872,73016,45,3368,340877406,12
21.279,55709,505248,505248,2980416,73012,46,3641,340878952,12
22.606,55709,508740,509468,3014240,73012,47,3835,340880586,12
22.968,55709,508740,509468,3014240,73012,47,3835,340881017,12
24.315,55709,508740,509468,3014240,73012,47,3835,340882622,12
25.628,55709,508740,509468,3014240,73012,47,3835,340884178,12
26.923,55709,508740,509468,3014240,73012,47,3835,340885766,12
28.253,55709,508740,509468,3014240,73012,47,3835,340887358,12
29.584,55709,508740,509468,3014240,73012,47,3835,340888970,12
30.91,55709,507504,509468,3013184,73012,46,3836,340890544,12
32.228,55709,507512,509468,3014240,73012,47,3836,340892132,12
33.577,55709,507512,509468,3014240,73012,47,3836,340893758,12
34.911,55709,507512,509468,3014240,73012,47,3836,340895351,12
36.243,55709,500620,509468,3012128,73012,45,3837,340896951,12
37.566,55709,491904,509468,3001152,68636,46,3852,340898529,12
38.891,55709,491904,509468,3001152,68636,46,3852,340900140,12
40.227,55709,490908,509468,3000096,68636,45,3854,340901742,12
41.558,55709,486960,509468,2999040,68636,44,3855,340903328,12
42.883,55709,486960,509468,2999040,68636,44,3855,340904921,12
44.2,55709,486960,509468,2999040,68636,44,3855,340906507,12
45.542,55709,486960,509468,2999040,68636,44,3855,340908115,12
46.875,55709,477400,509468,2997984,68636,43,3857,340909703,12
48.196,55709,477400,509468,2997984,68636,43,3857,340911304,12
49.535,55709,477400,509468,2997984,68636,43,3857,340912898,12
50.852,55709,477400,509468,2997984,68636,43,3857,340914480,12
52.172,55709,477400,509468,2997984,68636,43,3857,340916075,12
53.502,55709,477400,509468,2997984,68636,43,3857,340917660,12
54.831,55709,477400,509468,2997984,68636,43,3857,340919267,12
56.172,55709,477300,509468,2996928,68636,42,3858,340920866,12
57.5,55709,477300,509468,2996928,68636,42,3858,340922475,12
58.849,55709,477300,509468,2996928,68636,42,3858,340924087,12
60.184,55709,477300,509468,2996928,68636,42,3858,340925674,12
61.476,55709,477300,509468,2996928,68636,42,3858,340927250,12
62.819,55709,477300,509468,2996928,68636,42,3858,340928831,12
64.145,55709,477300,509468,2996928,68636,42,3858,340930426,12
65.472,55709,477300,509468,2996928,68636,42,3858,340932033,12
66.825,55709,477300,509468,2996928,68636,42,3858,340933648,12
68.157,55709,477244,509468,2995872,68636,41,3858,340935265,12
69.499,55709,477244,509468,2995872,68636,41,3858,340936851,12
70.828,55709,477244,509468,2995872,68636,41,3858,340938444,12
72.144,55709,477244,509468,2995872,68636,41,3858,340940025,12
73.475,55709,477244,509468,2995872,68636,41,3858,340941634,12
74.823,55709,477244,509468,2995872,68636,41,3858,340943248,12
76.153,55709,477288,509468,2996928,68636,42,3858,340944846,12
77.478,55709,477288,509468,2996928,68636,42,3858,340946452,12
78.821,55709,477288,509468,2996928,68636,42,3858,340948058,12
80.163,55709,477288,509468,2996928,68636,42,3858,340949647,12
81.487,55709,477288,509468,2996928,68636,42,3858,340951238,12
82.827,55709,477288,509468,2996928,68636,42,3858,340952852,12
