elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.148,57653,77804,77804,1872328,75532,26,28,340990007,12
1.407,57653,234032,234032,2634688,75024,50,169,340991519,12
2.698,57653,268204,268204,2664640,74840,50,198,340993069,12
3.979,57653,462268,462772,2698432,74816,50,466,340994633,12
5.329,57653,462200,462772,2699968,74752,50,588,340996284,12
6.673,57653,464852,464852,2701248,74736,50,798,340997857,12
8.002,57653,469532,469532,2702016,74716,50,1161,340999488,12
8.387,57653,469588,469588,2702016,74716,50,1161,340999984,12
9.737,57653,469588,469588,2702016,74716,50,1161,341001571,12
11.066,57653,469592,469592,2702016,74712,50,1162,341003166,12
12.412,57653,469592,469592,2702016,74712,50,1162,341004777,12
