elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.138,56176,71440,71440,1871016,76752,25,27,340965146,12
1.414,56176,235228,235228,2634688,75032,50,166,340966662,12
2.671,56176,462388,463608,2697152,74760,50,734,340968176,12
3.939,56176,467976,471600,2702080,74584,52,858,340969723,12
5.216,56176,473996,474268,2704128,74552,52,1056,340971255,12
6.515,56176,472576,474632,2705664,74524,52,1349,340972809,12
7.793,56176,483428,483772,2712832,74464,52,1923,340974340,12
9.114,56176,489512,489656,2716672,74420,52,2140,340975938,12
10.45,56176,485200,492604,2712576,72956,52,2373,340977580,12
11.805,56176,487060,492604,2712616,72952,52,2728,340979196,12
12.189,56176,489952,492604,2712576,68072,52,2729,340979666,12
13.532,56176,489952,492604,2712576,68072,52,2729,340981272,12
14.874,56176,484232,492604,2710464,68072,50,2731,340982896,12
16.213,56176,483548,492604,2708352,68072,48,2731,340984468,12
