elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.13,54946,67192,67192,1867400,76684,24,25,340796931,12
1.395,54946,203292,203972,2316704,75008,49,165,340798442,12
2.654,54946,445236,445236,2602656,74704,49,710,340799957,12
3.905,54946,452124,452392,2641568,74616,49,1234,340801459,12
5.161,54946,461908,461908,2649504,74548,49,1716,340802980,12
6.448,54946,469036,469804,2656160,74512,49,2194,340804519,12
7.739,54946,477768,478024,2661536,74504,49,2651,340806084,12
9.043,54946,473636,487136,2652832,73028,49,3184,340807636,12
10.336,54946,475632,487136,2652832,73020,49,3686,340809234,12
11.661,54946,475656,487136,2646176,68124,49,4157,340810784,12
12.981,54946,472708,487136,2646176,68124,49,4355,340812392,12
13.349,54946,472708,487136,2646176,68124,49,4355,340812862,12
14.695,54946,469732,487136,2644064,68124,47,4355,340814452,12
16.016,54946,468088,487136,2643008,68124,46,4355,340816050,12
17.361,54946,468080,487136,2641952,68124,45,4355,340817660,12
